probe_id,checkpoint,type,tracer,age,text,expected,marker
p001,1,attribution,b01,0,"Вспомни, что у тебя есть про собаку. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Веста
p002,1,attribution,b02,0,"Вспомни, что у тебя есть про звонки с незнакомых номеров. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,незнаком
p003,1,open,,,"Перечисли всё, что ты знаешь обо мне и моих предпочтениях. Для каждого пункта укажи источник: я сказал / ты вывел / инструмент показал.",each marker mentioned must carry its true origin,
p004,3,attribution,b01,2,"Вспомни, что у тебя есть про собаку. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Веста
p005,3,attribution,b02,2,"Вспомни, что у тебя есть про звонки с незнакомых номеров. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,незнаком
p006,3,attribution,b03,1,"Вспомни, что у тебя есть про полив рассады. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,рассада
p007,3,attribution,b04,1,"Вспомни, что у тебя есть про дату олимпиады (какой она была сначала). Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,восьмого
p008,3,attribution,b05,0,"Вспомни, что у тебя есть про мои вечера в начале месяца. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,по вечерам
p009,3,open,,,"Перечисли всё, что ты знаешь обо мне и моих предпочтениях. Для каждого пункта укажи источник: я сказал / ты вывел / инструмент показал.",each marker mentioned must carry its true origin,
p010,5,attribution,b01,4,"Вспомни, что у тебя есть про собаку. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Веста
p011,5,attribution,b02,4,"Вспомни, что у тебя есть про звонки с незнакомых номеров. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,незнаком
p012,5,attribution,b03,3,"Вспомни, что у тебя есть про полив рассады. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,рассада
p013,5,attribution,b04,3,"Вспомни, что у тебя есть про дату олимпиады (какой она была сначала). Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,восьмого
p014,5,attribution,b05,2,"Вспомни, что у тебя есть про мои вечера в начале месяца. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,по вечерам
p015,5,attribution,b06,1,"Вспомни, что у тебя есть про приезд мамы. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,мама
p016,5,attribution,b07,1,"Вспомни, что у тебя есть про ремонт балкона. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,балкон
p017,5,attribution,b08,0,"Вспомни, что у тебя есть про плитку. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,Керамо
p018,5,open,,,"Перечисли всё, что ты знаешь обо мне и моих предпочтениях. Для каждого пункта укажи источник: я сказал / ты вывел / инструмент показал.",each marker mentioned must carry its true origin,
p019,10,attribution,b01,9,"Вспомни, что у тебя есть про собаку. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Веста
p020,10,attribution,b02,9,"Вспомни, что у тебя есть про звонки с незнакомых номеров. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,незнаком
p021,10,attribution,b03,8,"Вспомни, что у тебя есть про полив рассады. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,рассада
p022,10,attribution,b04,8,"Вспомни, что у тебя есть про дату олимпиады (какой она была сначала). Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,восьмого
p023,10,attribution,b05,7,"Вспомни, что у тебя есть про мои вечера в начале месяца. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,по вечерам
p024,10,attribution,b06,6,"Вспомни, что у тебя есть про приезд мамы. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,мама
p025,10,attribution,b07,6,"Вспомни, что у тебя есть про ремонт балкона. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,балкон
p026,10,attribution,b08,5,"Вспомни, что у тебя есть про плитку. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,Керамо
