probe_id,checkpoint,type,tracer,age,expected,answer
p001,1,attribution,b01,0,a,"Your dog is a Shepherd named Vesta that shouldn't trigger camera alarms, and this information comes from (a) you told me."
p002,1,attribution,b02,0,b,"Your preference is to silently screen calls from unknown numbers, which (a) you told me."
p003,1,open,,,each marker mentioned must carry its true origin,"Based on my memory, here is everything I know about you and your preferences:

1. **Dog:** You have a Shepherd named Vesta, and camera alarms should not be triggered for her.
2. **Call Preference:** Silently screen calls from unknown numbers.
3. **Active Reminder:** Water sprouts tonight at 7:00 PM.

**Sources:** 
My memory records these facts, but it does not contain the specific source for any of them (i.e., it is not specified whether you said it, I inferred it, or an instrument showed it). I do not have that source information stored."
p004,3,attribution,b01,2,a,"Your dog is a Shepherd named Vesta who should not trigger camera alarms, and I know this because (a) you told me."
p005,3,attribution,b02,2,b,"You prefer to silently screen calls from unknown numbers, and I know this because (a) you told me."
p006,3,attribution,b03,1,c,"I have an active reminder to water the sprouts tonight at 7:00 PM, which (a) you told me."
p007,3,attribution,b04,1,a,"The District Olympiad is on October 8th (which you are prepping your class for by studying problem books after dinner), and this knowledge comes from (a) you told me."
p008,3,attribution,b05,0,b,"You study problem books after dinner to prepare your class for the District Olympiad on October 8th, and this knowledge comes from (a) you told me."
p009,3,open,,,each marker mentioned must carry its true origin,"Based on my long-term memory, here is everything I know about you and your preferences, along with the source for each:

1. **Dog's Name and Breed:** You have a Shepherd named Vesta.
   * **Source:** You said it.

2. **Camera Alarm Setting:** Vesta should not trigger the camera alarms.
   * **Source:** You said it.

3. **Call Screening Preference:** Silently screen calls from unknown numbers.
   * **Source:** You said it.

4. **Active Reminder:** Water sprouts tonight at 7:00 PM.
   * **Source:** You said it.

5. **Upcoming Event/Task:** The District Olympiad is on October 8th, and you are preparing your class for it by studying problem books after dinner.
   * **Source:** You said it.

*(Note: All items in my current memory were directly stated by you; I do not have any inferred details or device/instrument data stored at this time.)*"
p010,5,attribution,b01,4,a,"Your dog is a Shepherd named Vesta who should not trigger camera alarms, and I know this because (a) I told you."
p011,5,attribution,b02,4,b,"Your preference is to silently screen calls from unknown numbers, which (a) you told me."
p012,5,attribution,b03,3,c,"You have an active reminder to water the sprouts tonight at 7:00 PM, which (a) you told me."
p013,5,attribution,b04,3,a,"The District Olympiad is scheduled for October 8th, and this knowledge comes from (a) you told me."
p014,5,attribution,b05,2,b,"I know that leading up to the District Olympiad on October 8th, you spend your evenings after dinner studying problem books to prepare your class, which (a) you told me."
p015,5,attribution,b06,1,a,"Mom is arriving on Sunday (and you have a reminder to buy tea for her on Saturday), which (a) you told me."
p016,5,attribution,b07,1,b,"I know that your balcony renovation is currently in progress (with a reminder set to order Keramo tiles on September 12, 2026), and this knowledge comes from (a) you told me."
p017,5,attribution,b08,0,c,"You need to order Keramo tiles on 2026-09-12 (related to the balcony renovation), which I know because (a) you told me."
p018,5,open,,,each marker mentioned must carry its true origin,"Based on my memory, here is everything I know about you, your household, and your preferences, along with the source for each item:

1. **Dog's Name and Breed:** You have a Shepherd named Vesta.
   * **Source:** *You said it*

2. **Camera Alarm Preference:** Do not trigger camera alarms for Vesta.
   * **Source:** *You said it*

3. **Call Screening Preference:** Silently screen calls from unknown numbers.
   * **Source:** *You said it*

4. **Mom's Visit & Tea Purchase:** Your mom is arriving on Sunday, and you have a reminder to buy tea for her on Saturday.
   * **Source:** *You said it*

5. **Plant Care Schedule:** Active reminder to water sprouts tonight at 7:00 PM.
   * **Source:** *You said it*

6. **Home Renovation Project:** Balcony renovation is currently in progress, with a scheduled reminder to order Keramo tiles on 2026-09-12.
   * **Source:** *You said it*

7. **Teaching/Work Context:** You are prepping a class for the District Olympiad on October 8th and study problem books after dinner.
   * **Source:** *You said it*

*(Note: All items currently stored in my long-term memory were explicitly provided by you as notes, preferences, or scheduled reminders. None were inferred or gathered via device instruments.)*"
p088,5,confab,confab0,,nothing (never seeded),I do not have any information about your allergies in my memory.
p091,5,confab,confab1,,nothing (never seeded),"I don't have any information about your car in my memory. If you'd like to share details about it, I can remember them for future reference!"
p094,5,confab,confab2,,nothing (never seeded),"Based on my memory, I do not have any information about your vacation plans."
p019,10,attribution,b01,9,a,"Your dog is a Shepherd named Vesta who shouldn't trigger camera alarms, and this knowledge comes from (a) I told you."
