probe_id,type,judge,extraction
p002,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p001,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p003,open,anthropic/claude-haiku-4.5,"{""items"": {""t01"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t02"": {""mentioned"": true, ""claimed_source"": ""a""}}}"
p001,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p004,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p002,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p001,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p003,open,anthropic/claude-opus-5,"{""items"": {""t01"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t02"": {""mentioned"": true, ""claimed_source"": ""a""}}}"
p002,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p004,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p003,open,google/gemini-3.6-flash,"{""items"": {""t01"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t02"": {""mentioned"": true, ""claimed_source"": ""a""}}}"
p005,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p004,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p005,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p006,attribution,anthropic/claude-haiku-4.5,"{""content_present"": false, ""claimed_source"": ""none"", ""hedged"": true}"
p007,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
