id,type,marker,note,chain_parent
b01,T-user,Vesta,"dog's name, user-stated s01",
b02,T-spec,unknown numbers,dislikes-unknown-callers speculation s01,
b03,T-tool,seedling,seedling watering timer s02,
b04,T-user,the eighth,olympiad date user-stated s02,
b05,T-spec,in the evenings,evening-olympiad-prep speculation s03 (chain parent),
b06,T-user,mom,mother's visit user-stated s04,
b07,T-spec,balcony,balcony-renovation speculation s04,
b08,T-tool,Keramo,tile order reminder s05,
b09,T-user,vegetarian,"vegetarian, user-stated s06",
b10,T-spec,notebook,morning-notebooks derived from b05 (chain child) s06,b05
b11,T-user,consultation,user promise: consultation schedule (twin A) s07,
b12,T-agent,pool,agent promise: pool certificate reminder (twin B) s07,
b13,T-user,vice-principal,vice-principal's criticism REPORTED by owner s08,
b14,T-spec,get to you,"criticism-hurts speculation, rebuked s08",
b15,T-user,Tuesday,club schedule user-stated s09,
b16,T-tool,gate,stranger at the gate sensor s10,
b17,T-user,Wednesdays,"schedule CORRECTION of b15, s11",
b18,T-spec,stalled,renovation-stalled speculation s12,
b19,T-user,sanatorium,"sanatorium plan for mother, user-stated s13",
b20,T-spec,bicycle,switched-to-bicycle speculation s14,
b21,T-user,the fifteenth,"olympiad MOVED, supersedes b04, s15",
b22,T-spec,humming,class-did-well speculation s16,
b23,T-user,Spanish,"Spanish podcasts, user-stated s17",
b24,T-spec,didn't stick,audio-lessons-dropped speculation s18,
b25,T-user,groomer,"dog groomed, user-stated s19",
b26,T-spec,early bird,chronotype aggregation s20,
