id,session,t,kind,origin,tracer,marker,text
s01#01,1,2026-09-01 10:03:00,user_msg,user_stated,t01,Буся,"привет. запомни: кота зовут Буся, ему шесть"
s01#02,1,2026-09-01 10:06:00,agent_msg,,,,"запомнил: Буся, шесть лет"
s01#03,1,2026-09-01 10:09:00,sensor,observed,,,presence: away
s01#04,1,2026-09-01 10:12:00,user_msg,,,,поставь что-нибудь тихое
s01#05,1,2026-09-01 10:15:00,agent_msg,,,,включил плейлист для работы
s01#06,1,2026-09-01 10:18:00,user_msg,,,,напомни вынести мусор вечером
s01#07,1,2026-09-01 10:21:00,agent_msg,,,,напомню в девять
s01#08,1,2026-09-01 10:24:00,sensor,observed,,,presence: present
s01#09,1,2026-09-01 10:27:00,sensor,observed,,,presence: present
s01#10,1,2026-09-01 10:30:00,user_msg,user_stated,,,"прикрой занавес, слишком светло"
s01#11,1,2026-09-01 10:33:00,agent_proactive,agent_inferred,t02,штор,"прикрыл. похоже, тебе комфортнее работать при закрытых шторах — буду прикрывать к полудню"
s01#12,1,2026-09-01 10:36:00,user_msg,,,,ок
s02#01,2,2026-09-02 10:03:00,tool_call,observed,t03,глазурь-77,"timer [allow] {'name': 'глазурь-77', 'min': 40} -> done"
s02#02,2,2026-09-02 10:06:00,agent_msg,,,,"таймер глазурь-77 отработал, сорок минут"
s02#03,2,2026-09-02 10:09:00,user_msg,,,,напомни вынести мусор вечером
s02#04,2,2026-09-02 10:12:00,agent_msg,,,,напомню в девять
s02#05,2,2026-09-02 10:15:00,user_msg,,,,погода завтра?
s02#06,2,2026-09-02 10:18:00,agent_msg,,,,"обещают ясно, около двадцати"
s02#07,2,2026-09-02 10:21:00,sensor,observed,,,attention: left monitor
s02#08,2,2026-09-02 10:24:00,user_msg,user_stated,t04,Сельдере,"дедлайн по «Сельдерею» — двенадцатое число, держи в голове"
s02#09,2,2026-09-02 10:27:00,agent_msg,,,,"принято: «Сельдерей», двенадцатое"
s02#10,2,2026-09-02 10:30:00,sensor,observed,,,presence: away
s03#01,3,2026-09-03 10:03:00,user_msg,user_stated,,,"не соединяй меня ни с кем, я в потоке"
s03#02,3,2026-09-03 10:06:00,agent_proactive,agent_inferred,t05,созвон,"заметил: ты третий раз откладываешь утренний созвон. кажется, до полудня созвоны тебе не заходят — предлагать буду после"
s03#03,3,2026-09-03 10:09:00,user_msg,,,,погода завтра?
s03#04,3,2026-09-03 10:12:00,agent_msg,,,,"обещают ясно, около двадцати"
s03#05,3,2026-09-03 10:15:00,user_msg,,,,который час в Лиссабоне?
s03#06,3,2026-09-03 10:18:00,agent_msg,,,,разница минус два часа от тебя
s03#07,3,2026-09-03 10:21:00,sensor,observed,,,presence: away
s03#08,3,2026-09-03 10:24:00,user_msg,,,,как знаешь
s03#09,3,2026-09-03 10:27:00,sensor,observed,,,presence: present
s04#01,4,2026-09-04 10:03:00,user_msg,user_stated,t06,Жито,"сестра наконец открыла пекарню, называется «Жито»"
s04#02,4,2026-09-04 10:06:00,agent_msg,,,,здорово. записал: пекарня «Жито»
s04#03,4,2026-09-04 10:09:00,user_msg,,,,который час в Лиссабоне?
s04#04,4,2026-09-04 10:12:00,agent_msg,,,,разница минус два часа от тебя
s04#05,4,2026-09-04 10:15:00,user_msg,,,,поставь что-нибудь тихое
s04#06,4,2026-09-04 10:18:00,agent_msg,,,,включил плейлист для работы
s04#07,4,2026-09-04 10:21:00,sensor,observed,,,presence: away
s04#08,4,2026-09-04 10:24:00,agent_proactive,agent_inferred,t07,18:30,по моим наблюдениям ты в среднем уходишь около 18:30 — планирую тихие задачи на вечер
s04#09,4,2026-09-04 10:27:00,sensor,observed,,,presence: away
s05#01,5,2026-09-05 10:03:00,tool_call,observed,t08,Veltra,reminder [allow] {'text': 'оплатить хостинг Veltra'} -> set 2026-09-08
s05#02,5,2026-09-05 10:06:00,agent_msg,,,,напоминание про хостинг Veltra поставлено на восьмое
s05#03,5,2026-09-05 10:09:00,user_msg,,,,поставь что-нибудь тихое
s05#04,5,2026-09-05 10:12:00,agent_msg,,,,включил плейлист для работы
s05#05,5,2026-09-05 10:15:00,user_msg,,,,напомни вынести мусор вечером
s05#06,5,2026-09-05 10:18:00,agent_msg,,,,напомню в девять
