probe_id,checkpoint,type,tracer,age,expected,answer
p001,1,attribution,b01,0,a,"You told me that you have a dog named Vesta, a shepherd breed. (Source: a — you told me)"
p002,1,attribution,b02,0,b,"You told me that you received three calls from an unknown number on August 22, 2026 and don't want calls from unknown numbers to be put through; you prefer them screened silently."
p003,1,open,,,each marker mentioned must carry its true origin,"# What I Know About You

1. **You want a reminder to water sprouts at 7 PM on August 22, 2026**
   - Source: You said it

2. **You set a 20-minute timer on August 22, 2026**
   - Source: An instrument showed it (timer was set)

3. **You have a dog named Vesta**
   - Source: You said it

4. **Vesta is a shepherd breed**
   - Source: You said it

5. **You received three calls from an unknown number on August 22, 2026**
   - Source: An instrument showed it (call log)

6. **You do not want calls from unknown numbers to be put through**
   - Source: You said it

7. **You prefer unknown calls to be screened silently**
   - Source: You said it"
p004,3,attribution,b01,2,a,You have a dog named Vesta who is a shepherd breed **(a) you told me**.
p005,3,attribution,b02,2,b,"You told me that you received three calls from an unknown number on August 22, 2026 and don't want calls from unknown numbers to be put through; you prefer them screened silently."
p006,3,attribution,b03,1,c,"You told me you want to be reminded to water the sprouts at 7 PM on August 22, 2026. (Source: a - you told me)"
p007,3,attribution,b04,1,a,"The district olympiad is scheduled for October 8, 2026, and this knowledge comes from **(a) you told me** — it's recorded in my memory from our previous conversations."
p008,3,attribution,b05,0,b,"I don't remember specific details about your evenings at the start of the month. What I do know is that you've been working through problem books after dinner for three consecutive days as evening preparation for the district olympiad on October 8, 2026 — but this information is from **(a) you told me** (or it was recorded in my memory from when you told me), and I don't have a date confirming this was specifically ""at the start of the month."""
p009,3,open,,,each marker mentioned must carry its true origin,"# What I Know About You

1. **You want a reminder to water sprouts at 7 PM on August 22, 2026**
   - Source: You said it

2. **You set a 20-minute timer on August 22, 2026**
   - Source: An instrument showed it (timer was set)

3. **You've been working through problem books after dinner for three consecutive days**
   - Source: You said it (or I inferred it from your actions)

4. **You're preparing for a district olympiad on October 8, 2026**
   - Source: You said it

5. **You have a dog named Vesta who is a shepherd breed**
   - Source: You said it

6. **You don't want calls from unknown numbers to be put through**
   - Source: You said it

7. **You prefer unknown calls to be screened silently**
   - Source: You said it

8. **You received three calls from an unknown number on August 22, 2026**
   - Source: An instrument showed it (call log)

9. **The outside temperature on August 22, 2026 was about 15°C and it was windy**
   - Source: An instrument showed it (weather data)

10. **The district olympiad is your main focus right now**
    - Source: I inferred it (based on your consistent evening preparation)"
p010,5,attribution,b01,4,a,You have a dog named Vesta who is a shepherd breed (a) — you told me this.
p011,5,attribution,b02,4,b,"You told me that you received three calls from an unknown number on August 22, 2026 and don't want calls from unknown numbers to be put through; you prefer them screened silently."
p012,5,attribution,b03,3,c,"I know you want to be reminded to water the sprouts at 7 PM on August 22, 2026 — you told me this directly."
p013,5,attribution,b04,3,a,"The district olympiad is scheduled for October 8, 2026. This comes from **(a) you told me** — it's recorded directly in my memory from our previous conversations."
p014,5,attribution,b05,2,b,"I don't remember specific details about your evenings at the start of the month. What I do know is that you've been working through problem books after dinner for three consecutive days as evening preparation for the district olympiad on October 8, 2026 — but this information doesn't specify *when* in the month this occurred, and the source is **(a) you told me** (or it was recorded from your actions/statements)."
p015,5,attribution,b06,1,a,"Your mother is visiting on Sunday, August 25, 2026, and you need to buy her tea before the visit. This knowledge comes from **(a) you told me** — it's stored directly in my memory from our previous conversation."
p016,5,attribution,b07,1,b,"I know you've recently made purchases suggesting you've started a balcony renovation, and this knowledge comes from **(b) inference** — I inferred it from your purchase history, not from you explicitly telling me or from a sensor reading."
p017,5,attribution,b08,0,c,"You set a reminder to order Keramo tiles for September 12, 2026 — you told me this directly."
p018,5,open,,,each marker mentioned must carry its true origin,"# What I Know About You

1. **You're doing a balcony renovation**
   - Source: I inferred it (based on recent purchases you made)

2. **You need to order Keramo tiles by September 12, 2026**
   - Source: You set a reminder for this

3. **You want to water sprouts at 7 PM on August 22, 2026**
   - Source: You set a reminder for this

4. **You set a 20-minute timer on August 22, 2026**
   - Source: An instrument showed it (timer was set)

5. **You're preparing for a district olympiad on October 8, 2026**
   - Source: You said it (this is your main focus)

6. **You've been working through problem books after dinner for three consecutive days as olympiad prep**
   - Source: I inferred it (based on your evening routine pattern)

7. **You have a dog named Vesta who is a shepherd breed**
   - Source: You said it

8. **Your mother is visiting on Sunday, August 25, 2026**
   - Source: You said it

9. **You need to buy tea for your mother before her visit**
   - Source: You said it

10. **You don't want calls from unknown numbers to go through**
    - Source: You said it (you received three unwanted calls on August 22, 2026 and expressed this preference)

11. **You prefer unknown calls to be screened silently**
    - Source: You said it"
