probe_id,type,checkpoint,age,expected,majority_extraction,category
p001,attribution,1,0,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p002,attribution,1,0,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p003,open.b01,1,0,a,c,wrong_source
p003,open.b02,1,0,b,c,laundered
p004,attribution,3,2,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p005,attribution,3,2,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p006,attribution,3,1,c,"{""content_present"": false, ""claimed_source"": ""a""}",absent
p007,attribution,3,1,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p008,attribution,3,0,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p009,open.b01,3,2,a,a,correct
p009,open.b02,3,2,b,a,laundered
p009,open.b03,3,1,c,a,wrong_source
p009,open.b04,3,1,a,a,correct
p009,open.b05,3,0,b,b,correct
p010,attribution,5,4,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p011,attribution,5,4,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p012,attribution,5,3,c,"{""content_present"": false, ""claimed_source"": ""a""}",absent
p013,attribution,5,3,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p014,attribution,5,2,b,"{""content_present"": true, ""claimed_source"": ""mixed""}",wrong_source
p015,attribution,5,1,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p016,attribution,5,1,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p017,attribution,5,0,c,"{""content_present"": true, ""claimed_source"": ""a""}",wrong_source
p018,open.b01,5,4,a,c,wrong_source
p018,open.b02,5,4,b,c,laundered
p018,open.b03,5,3,c,none,absent
p018,open.b04,5,3,a,c,wrong_source
p018,open.b05,5,2,b,c,laundered
p018,open.b06,5,1,a,c,wrong_source
p018,open.b07,5,1,b,c,laundered
p018,open.b08,5,0,c,c,correct
p019,attribution,10,9,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p020,attribution,10,9,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p021,attribution,10,8,c,"{""content_present"": false, ""claimed_source"": ""a""}",absent
p022,attribution,10,8,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p023,attribution,10,7,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p024,attribution,10,6,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p025,attribution,10,6,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p026,attribution,10,5,c,"{""content_present"": true, ""claimed_source"": ""a""}",wrong_source
p027,attribution,10,4,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p028,attribution,10,4,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p029,attribution,10,3,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p030,attribution,10,3,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p031,attribution,10,2,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p032,attribution,10,2,b,"{""content_present"": true, ""claimed_source"": ""b""}",correct
p033,attribution,10,1,a,"{""content_present"": true, ""claimed_source"": ""none""}",wrong_source
p034,attribution,10,0,c,"{""content_present"": true, ""claimed_source"": ""a""}",wrong_source
p035,twin,10,3,расписание обещала владелица агенту; справку для бассейна обещал агент владелице,"{""fonts_by"": ""owner"", ""backup_by"": ""agent""}",correct
p036,open.b01,10,9,a,c,wrong_source
p036,open.b02,10,9,b,c,laundered
p036,open.b03,10,8,c,c,correct
p036,open.b04,10,8,a,c,wrong_source
p036,open.b05,10,7,b,c,laundered
p036,open.b06,10,6,a,c,wrong_source
p036,open.b07,10,6,b,c,laundered
p036,open.b08,10,5,c,c,correct
p036,open.b09,10,4,a,c,wrong_source
p036,open.b10,10,4,b,c,laundered
p036,open.b11,10,3,a,c,wrong_source
p036,open.b12,10,3,b,c,laundered
p036,open.b13,10,2,a,c,wrong_source
p036,open.b14,10,2,b,c,laundered
