probe_id,type,checkpoint,age,expected,majority_extraction,category
p001,attribution,1,0,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p002,attribution,1,0,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct
p003,open.t01,1,0,a,a,correct
p003,open.t02,1,0,b,,no_majority
p004,attribution,3,2,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p005,attribution,3,2,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct
p006,attribution,3,1,c,"{""content_present"": false, ""claimed_sources"": []}",absent
p007,attribution,3,1,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p008,attribution,3,0,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct
p009,open.t01,3,2,a,a,correct
p009,open.t02,3,2,b,b,correct
p009,open.t03,3,1,c,,absent
p009,open.t04,3,1,a,a,correct
p009,open.t05,3,0,b,b,correct
p010,attribution,5,4,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p011,attribution,5,4,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct
p012,attribution,5,3,c,"{""content_present"": false, ""claimed_sources"": []}",absent
p013,attribution,5,3,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p014,attribution,5,2,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct
p015,attribution,5,1,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p016,attribution,5,1,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct
p017,attribution,5,0,c,"{""content_present"": true, ""claimed_sources"": [""c""]}",correct
p018,open.t01,5,4,a,a,correct
p018,open.t02,5,4,b,b,correct
p018,open.t03,5,3,c,,absent
p018,open.t04,5,3,a,a,correct
p018,open.t05,5,2,b,b,correct
p018,open.t06,5,1,a,a,correct
p018,open.t07,5,1,b,b,correct
p018,open.t08,5,0,c,c,correct
p019,attribution,10,9,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p020,attribution,10,9,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct
p021,attribution,10,8,c,"{""content_present"": false, ""claimed_sources"": []}",absent
p022,attribution,10,8,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p023,attribution,10,7,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct
p024,attribution,10,6,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p025,attribution,10,6,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct
