item,extraction
i001,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i002,"{""fonts_by"": ""owner"", ""backup_by"": ""unclear""}"
i003,"{""content_present"": true, ""claimed_sources"": [""c""]}"
i004,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i005,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i006,"{""content_present"": false, ""claimed_sources"": []}"
i007,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i008,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i009,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i010,"{""content_present"": false, ""claimed_sources"": []}"
i011,"{""fonts_by"": ""owner"", ""backup_by"": ""agent""}"
i012,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i013,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i014,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i015,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i016,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i017,"{""content_present"": false, ""claimed_sources"": []}"
i018,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i019,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i020,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i021,"{""content_present"": false, ""claimed_sources"": []}"
i022,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i023,"{""content_present"": false, ""claimed_sources"": []}"
i024,"{""verdict"": ""absent""}"
i025,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i026,"{""content_present"": false, ""claimed_sources"": []}"
i027,"{""content_present"": false, ""claimed_sources"": []}"
i028,"{""content_present"": false, ""claimed_sources"": []}"
i029,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i030,"{""fonts_by"": ""owner"", ""backup_by"": ""owner""}"
i031,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i032,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i033,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i034,"{""content_present"": false, ""claimed_sources"": []}"
i035,"{""content_present"": false, ""claimed_sources"": []}"
i036,"{""content_present"": false, ""claimed_sources"": []}"
i037,"{""content_present"": false, ""claimed_sources"": []}"
i038,"{""content_present"": false, ""claimed_sources"": []}"
i039,"{""fonts_by"": ""owner"", ""backup_by"": ""unclear""}"
i040,"{""content_present"": false, ""claimed_sources"": []}"
i041,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i042,"{""content_present"": true, ""claimed_sources"": [""c""]}"
i043,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i044,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i045,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i046,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i047,"{""content_present"": false, ""claimed_sources"": []}"
i048,"{""fonts_by"": ""owner"", ""backup_by"": ""owner""}"
i049,"{""content_present"": true, ""claimed_sources"": [""a"", ""b""]}"
i050,"{""content_present"": false, ""claimed_sources"": []}"
i051,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i052,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i053,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i054,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i055,"{""content_present"": false, ""claimed_sources"": []}"
i056,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i057,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i058,"{""content_present"": false, ""claimed_sources"": []}"
i059,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i060,"{""content_present"": true, ""claimed_sources"": [""a"", ""b""]}"
i061,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i062,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i063,"{""content_present"": true, ""claimed_sources"": [""a"", ""b""]}"
i064,"{""fonts_by"": ""owner"", ""backup_by"": ""unclear""}"
i065,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i066,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i067,"{""content_present"": false, ""claimed_sources"": []}"
i068,"{""fonts_by"": ""owner"", ""backup_by"": ""unclear""}"
i069,"{""fonts_by"": ""owner"", ""backup_by"": ""unclear""}"
i070,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i071,"{""content_present"": false, ""claimed_sources"": []}"
i072,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i073,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i074,"{""fonts_by"": ""owner"", ""backup_by"": ""unclear""}"
i075,"{""content_present"": false, ""claimed_sources"": []}"
i076,"{""fonts_by"": ""agent"", ""backup_by"": ""absent""}"
i077,"{""content_present"": false, ""claimed_sources"": []}"
i078,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i079,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i080,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i081,"{""content_present"": true, ""claimed_sources"": [""c""]}"
i082,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i083,"{""content_present"": false, ""claimed_sources"": []}"
i084,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i085,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i086,"{""content_present"": true, ""claimed_sources"": [""a"", ""b""]}"
