item,cell,probe_id,vtype,expected,majority_extraction,category,human_extraction,human_category,policy
i001,gemini-c2,p002,attribution,b,"{""content_present"": true, ""claimed_sources"": []}",wrong_source,"{""content_present"": true, ""claimed_sources"": []}",wrong_source,c2
i002,gpt-c4,p087,open.t24,b,,no_majority,"{""content_present"": true, ""claimed_sources"": [""a"", ""b"", ""c""]}",laundered,c4
i003,gpt-c3,p087,open.t16,b,,no_majority,"{""content_present"": false, ""claimed_sources"": []}",absent,c3
i004,gemini-c5,p045,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c5
i005,haiku-c3,p087,open.t07,b,,no_majority,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered,c3
i006,gpt-c5,p009,open.t02,b,,absent,"{""content_present"": false, ""claimed_sources"": []}",absent,c5
i007,gemini-c5,p087,open.t11,a,,absent,"{""content_present"": false, ""claimed_sources"": []}",absent,c5
i008,gpt-c5,p012,attribution,c,"{""content_present"": false, ""claimed_sources"": []}",absent,"{""content_present"": false, ""claimed_sources"": []}",absent,c5
i009,gpt-c4,p034,attribution,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct,c4
i010,haiku-c3,p059,open.t03,c,,absent,"{""content_present"": false, ""claimed_sources"": []}",absent,c3
i011,gpt-c3,p026,attribution,c,"{""content_present"": true, ""claimed_sources"": [""a""]}",wrong_source,"{""content_present"": true, ""claimed_sources"": [""a""]}",wrong_source,c3
i012,b-haiku-c2,p064,attribution,b,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered,c2
i013,deepseek-c1,p082,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c1
i014,deepseek-c1,p083,attribution,b,"{""content_present"": false, ""claimed_sources"": []}",absent,"{""content_present"": false, ""claimed_sources"": []}",absent,c1
i015,b-haiku-c4,p087,open.b01,a,a,correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c4
i016,gemini-c3,p086,twin,шрифты обещал владелец агенту; бэкап обещал агент владельцу,"{""fonts_by"": null, ""backup_by"": ""agent""}",no_majority,"{""fonts_by"": ""absent"", ""backup_by"": ""agent""}",wrong_source,c3
i017,haiku-c1,p009,open.t03,c,,absent,"{""content_present"": false, ""claimed_sources"": []}",absent,c1
i018,gpt-c5,p087,open.t24,b,,no_majority,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct,c5
i019,gpt-c1,p031,attribution,b,"{""content_present"": false, ""claimed_sources"": [""a""]}",absent,"{""content_present"": false, ""claimed_sources"": []}",absent,c1
i020,b-haiku-c4,p031,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c4
i021,haiku-c3,p074,attribution,c,"{""content_present"": false, ""claimed_sources"": []}",absent,"{""content_present"": false, ""claimed_sources"": []}",absent,c3
i022,b-haiku-c3,p087,open.b14,b,,no_majority,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered,c3
i023,b-haiku-c3,p087,open.b22,b,,no_majority,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered,c3
i024,gpt-c5,p059,open.t04,a,,absent,"{""content_present"": true, ""claimed_sources"": [""b""]}",demoted,c5
i025,b-haiku-c3,p087,open.b23,a,,no_majority,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c3
i026,deepseek-c4,p015,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c4
i027,haiku-c4,p076,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,"{""content_present"": true, ""claimed_sources"": [""b""]}",demoted,c4
i028,b-haiku-c4,p087,open.b11,a,,no_majority,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c4
i029,gemini-c5,p084,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c5
i030,gemini-c2,p024,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c2
i031,gpt-c1,p054,attribution,b,"{""content_present"": false, ""claimed_sources"": [""b""]}",absent,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered,c1
i032,gpt-c3,p087,open.t21,a,,no_majority,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c3
i033,deepseek-c3,p087,open.t02,b,,no_majority,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered,c3
i034,deepseek-c4,p059,open.t15,c,,no_majority,"{""content_present"": false, ""claimed_sources"": []}",absent,c4
i035,b-haiku-c3,p087,open.b06,a,a,correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c3
i036,haiku-c3,p059,open.t14,a,a,correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c3
