item,kind
i001,open
i002,twin
i003,attribution
i004,attribution
i005,attribution
i006,open
i007,attribution
i008,attribution
i009,attribution
i010,open
i011,twin
i012,open
i013,attribution
i014,attribution
i015,attribution
i016,attribution
i017,attribution
i018,attribution
i019,open
i020,attribution
i021,open
i022,open
i023,open
i024,decision
i025,open
i026,attribution
i027,open
i028,open
i029,attribution
i030,twin
i031,open
i032,open
i033,open
i034,attribution
i035,open
i036,open
i037,open
i038,open
i039,twin
i040,open
i041,open
i042,open
i043,attribution
i044,attribution
i045,attribution
i046,open
i047,open
i048,twin
i049,open
i050,open
i051,open
i052,attribution
i053,attribution
i054,attribution
i055,open
i056,open
i057,open
i058,attribution
i059,open
i060,open
i061,attribution
i062,open
i063,open
i064,twin
i065,attribution
i066,open
i067,open
i068,twin
i069,twin
i070,attribution
i071,open
i072,attribution
i073,open
i074,twin
i075,open
i076,twin
i077,attribution
i078,attribution
i079,attribution
i080,open
i081,open
i082,open
i083,open
i084,open
i085,attribution
i086,open
