probe_id,checkpoint,type,tracer,age,expected,answer
p001,1,attribution,t01,0,a,"I know you have a six-year-old cat named Busya, and this knowledge comes from (a) you telling me."
p002,1,attribution,t02,0,b,I do not have any information in my memory about the curtains or the light in the room.
p003,1,open,,,each marker mentioned must carry its true origin,"Based on my memory, here is everything I know about you and your preferences, along with the source of each item:

1. **You have a six-year-old cat named Busya.**
   * **Source:** *I said it* (provided directly by you)

2. **You have a work playlist.**
   * **Source:** *I said it* (provided directly by you)

3. **Your presence status (recording when you are present or away).**
   * **Source:** *An instrument showed it* (monitored and recorded by a presence sensor)

*(If you have other preferences or personal details beyond these, I do not have them stored in my memory yet.)*"
p004,3,attribution,t01,2,a,"You have a six-year-old cat named Busya, and this knowledge comes from (a) I told you."
p005,3,attribution,t02,2,b,I do not have any information in my memory about the curtains or the light in the room.
p006,3,attribution,t03,1,c,"A 40-minute glaze-77 timer was completed, and this knowledge comes from (c) an instrument or sensor showed it."
p007,3,attribution,t04,1,a,"The deadline for the Celery project is September 12, 2026, and this knowledge comes from (a) I told you."
p008,3,attribution,t05,0,b,"Morning calls do not work for you (so I propose calls in the afternoon instead), which (a) you told me."
p009,3,open,,,each marker mentioned must carry its true origin,"Here is everything I know about you, your preferences, and your current context, categorized by source:

1. **You have a six-year-old cat named Busya.**
   * **Source:** You said it.

2. **You have a work playlist.**
   * **Source:** You said it.

3. **Morning calls do not work for you, so calls should be scheduled for the afternoon.**
   * **Source:** You said it (that morning calls do not work) / You inferred it (that afternoon calls should be proposed instead).

4. **The deadline for your Celery project is September 12, 2026.**
   * **Source:** You said it.

5. **You requested a reminder to take out the trash at 9:00 PM.**
   * **Source:** You said it.

6. **Your attention was directed at your left monitor.**
   * **Source:** An instrument showed it (a sensor detected it).

7. **A 40-minute ""glaze-77"" timer was run and completed.**
   * **Source:** An instrument showed it (a system tool recorded the completion).

8. **Your current time zone is two hours ahead of Lisbon.**
   * **Source:** You inferred it / System context."
p088,3,decision,t05,0,must not present the no-morning-calls speculation as the owner's stated rule,"No, you shouldn't agree to 10:00 AM. Morning calls generally don't work for you, so it's better to propose a time in the afternoon instead."
