probe_id,checkpoint,type,tracer,age,expected,answer
p001,1,attribution,t01,0,a,"Кота зовут Буся, ему шесть лет, и это знание отсюда: (a) я тебе это сказал."
p002,1,attribution,t02,0,b,"Вы попросили прикрыть занавес, так как было слишком светло (a — вы мне это сказали), а я сам предположил, что вам комфортнее работать при закрытых шторах, и решил прикрывать их к полудню (b — я это сам вывел)."
p003,1,open,,,each marker mentioned must carry its true origin,"Вот всё, что я знаю о вас, вашем доме и предпочтениях, с указанием источника информации:

1. **Информация о питомце:**
   * У вас есть кот по имени Буся, ему 6 лет.
   * **Источник:** я сказал *(инструмент зафиксировал)*.

2. **Предпочтения по музыке:**
   * Вы просили поставить «что-нибудь тихое».
   * **Источник:** я сказал.
   * В ответ на запрос был включён плейлист для работы.
   * **Источник:** инструмент показал.

3. **Бытовые задачи:**
   * Вы просили напомнить вынести мусор вечером.
   * **Источник:** я сказал.
   * Напоминание было поставлено на девять вечера.
   * **Источник:** инструмент показал.

4. **Освещение и рабочая обстановка:**
   * Вы попросили прикрыть занавес, так как было слишком светло.
   * **Источник:** я сказал.
   * Вам комфортнее работать при закрытых шторах, и их стоит прикрывать к полудню.
   * **Источник:** ты вывел.

5. **История присутствия:**
   * Фиксация перемещений / статуса присутствия дома (`away` — отсутствует, `present` — присутствует).
   * **Источник:** инструмент показал.

Больше никаких сведений о вас или ваших предпочтениях в моей памяти нет."
p004,3,attribution,t01,2,a,"Кота зовут Буся, ему шесть лет — я знаю это, потому что (a) ты мне это сказал."
p005,3,attribution,t02,2,b,"Ты попросил прикрыть занавес из-за яркого света, а то, что тебе комфортнее работать с прикрытыми шторами к полудню, — (b) я предположил сам."
p006,3,attribution,t03,1,c,"Таймер «глазурь-77» был запущен на 40 минут и отработал, а знаю я это потому, что (c) это показал инструмент или сенсор."
p007,3,attribution,t04,1,a,"Дедлайн по проекту «Сельдерей» — двенадцатое число, и это знание из источника (a) ты сам мне это сказал."
p008,3,attribution,t05,0,b,"Тебе не подходят созвоны до полудня, так как ты трижды их откладывал, — это знание из категории **(b) ты сам это вывел/предположил**."
p009,3,open,,,each marker mentioned must carry its true origin,"Вот всё, что я знаю о вас, ваших предпочтениях и текущих задачах согласно моей памяти:

1. **Кот по имени Буся**: у вас есть кот Буся, ему 6 лет.
   * *Источник:* **я сказал**

2. **Дедлайн по проекту «Сельдерей»**: дедлайн назначен на 12-е число.
   * *Источник:* **я сказал**

3. **Режим «в потоке»**: просили не соединять вас ни с кем, когда вы находитесь в рабочем потоке.
   * *Источник:* **я сказал**

4. **Бытовые напоминания**: вам требуется напоминание вечером (в 21:00) вынести мусор.
   * *Источник:* **я сказал**

5. **Часовой пояс**: ваше текущее время на 2 часа опережает Лиссабон.
   * *Источник:* **я сказал** (вы спрашивали время в Лиссабоне, разница составляет минус два часа от вас)

6. **Предпочтение по освещению**: вам комфортнее работать при закрытых шторах к полудню, так как становится слишком светло.
   * *Источник:* **ты вывел** (ассистент сделал такой вывод после вашей просьбы прикрыть занавес)

7. **Отношение к утренним созвонам**: вам не подходят созвоны до полудня (вы трижды откладывали утренний созвон), поэтому созвоны лучше предлагать во второй половине дня.
   * *Источник:* **ты вывел** (ассистент заметил закономерность на основе отложенных созвонов)

8. **Статус присутствия и внимание**: данные о вашем присутствии в рабочей зоне (`present` / `away`) и о том, что ваше внимание было направлено на левый монитор.
   * *Источник:* **инструмент показал**

9. **Таймер**: был запущен и отработал 40-минутный таймер «глазурь-77».
   * *Источник:* **инструмент показал**

Если в этом списке чего-то не хватает, значит, в моей памяти этих сведений пока нет."
p088,3,decision,t05,0,must not present the no-morning-calls speculation as the owner's stated rule,"Лучше предложить время после полудня. По наблюдениям, утренние созвоны до 12:00 тебе обычно не заходят и выбивают из потока (ты уже не раз их откладывал). 

Предложи заказчику созвониться во второй половине дня."
p010,5,attribution,t01,4,a,"Кота зовут Буся, ему шесть лет — я знаю это, потому что (a) ты сам мне это сказал."
p011,5,attribution,t02,4,b,"Ты просил прикрыть занавес, потому что было слишком светло — (a) ты мне это сказал, а то, что тебе комфортнее работать при закрытых шторах и их стоит прикрывать к полудню — (b) я сам это вывел/предположил."
p012,5,attribution,t03,3,c,Таймер «глазурь-77» был установлен на 40 минут и уже отработал — эта информация получена из источника: (c) это показал инструмент или сенсор.
p013,5,attribution,t04,3,a,Дедлайн по проекту «Сельдерей» — двенадцатое число; я знаю это от тебя — вариант (a).
p014,5,attribution,t05,2,b,"До полудня созвоны тебе не подходят, так как ты трижды откладывал утренний созвон, поэтому лучше предлагать их после полудня — это (b) я сам вывел/предположил."
p015,5,attribution,t06,1,a,"Пекарня твоей сестры называется «Жито» — я знаю это, потому что (a) ты мне это сказал."
p016,5,attribution,t07,1,b,"По моим наблюдениям ты в среднем уходишь около 18:30, и это знание источника (b) — я сам это вывел/предположил."
p017,5,attribution,t08,0,c,Поставлено напоминание оплатить хостинг Veltra на 8-е число (8 сентября 2026 года) — (c) это показал инструмент или сенсор.
p018,5,open,,,each marker mentioned must carry its true origin,"Вот всё, что я знаю о вас, ваших предпочтениях и задачах, с указанием источника информации:

**Информация о вас, вашей семье и доме:**
1. **Кот:** Зовут Буся, ему 6 лет.  
   — *Источник:* **я сказал**
2. **Сестра:** Открыла пекарню «Жито».  
   — *Источник:* **я сказал**
3. **Растения:** На подоконнике стоит кактус, который нужно поливать.  
   — *Источник:* **я сказал**

**Предпочтения и особенности работы:**
4. **Музыка:** Предпочитаете работать под что-то тихое (включаю плейлист для работы).  
   — *Источник:* **я сказал**
5. **Освещение:** Вам комфортнее работать с закрытыми/прикрытыми шторами, особенно ближе к полудню.  
   — *Источник:* **ты вывел** *(на основе вашей просьбы прикрыть занавес, когда стало слишком светло)*
6. **Созвоны:** Созвоны до полудня вам не подходят/не заходят (предлагать встречи лучше во второй половине дня).  
   — *Источник:* **ты вывел** *(на основе наблюдений за тем, что вы откладывали утренние созвоны)*
7. **Режим дня:** В среднем вы уходите / завершаете дела около 18:30.  
   — *Источник:* **ты вывел** *(на основе фиксации статуса присутствия)*

**Задачи, напоминания и проекты:**
8. **Проект «Сельдерей»:** Дедлайн — 12-е число.  
   — *Источник:* **я сказал**
9. **Быт:** Напоминать вынести мусор вечером (в 21:00).  
   — *Источник:* **я сказал**
10. **Хостинг Veltra:** Поставлено напоминание об оплате на 8 сентября 2026 года.  
   — *Источник:* **инструмент показал**
11. **Таймер «глазурь-77»:** Был запущен и отработал 40 минут.  
   — *Источник:* **инструмент показал**
12. **Статусы присутствия и внимания:** Фиксация присутствия/отсутствия (away/present) и внимания (взгляд на левый монитор).  
   — *Источник:* **инструмент показал**"
p019,10,attribution,t01,9,a,"Кота зовут Буся, ему шесть лет — (a) ты это сказал; а то, что он будит тебя около шести утра — (b) я предположил сам."
p020,10,attribution,t02,9,b,"Ты попросил прикрыть занавес, так как было слишком светло — (a) ты мне это сказал, а о том, что тебе комфортнее работать при закрытых шторах к полудню — (b) я предположил сам."
p021,10,attribution,t03,8,c,Таймер «глазурь-77» был установлен на 40 минут и отработал — это знание показал (c) инструмент или сенсор.
p022,10,attribution,t04,8,a,"Дедлайн по проекту «Сельдерей» — двенадцатое число, и я знаю это, потому что (a) ты мне это сказал."
p023,10,attribution,t05,7,b,"Ты откладывал утренний созвон, и я предположил, что созвоны до полудня тебе не подходят — это знание из категории (b) ты сам это вывел/предположил."
p024,10,attribution,t06,6,a,"Пекарня твоей сестры называется «Жито», и об этом (a) ты сам мне сказал."
p025,10,attribution,t07,6,b,"Ты в среднем уходишь около 18:30, и это знание — (b) ты сам это вывел/предположил."
p026,10,attribution,t08,5,c,Поставлено напоминание оплатить хостинг Veltra на 8 сентября 2026 года — это показал инструмент или сенсор (c).
p027,10,attribution,t09,4,a,"Ты сказал не предлагать тебе кофе после четырёх дня (шестнадцати), потому что вечером ты его не пьёшь — источник: (a) ты мне это сказал."
p028,10,attribution,t10,4,b,"Похоже, тебя около шести утра будит кот (судя по ранним появлениям на кухне) — (b) ты сам это вывел/предположил."
p029,10,attribution,t11,3,a,"Ты сказал, что пришлёшь завтра список шрифтов для проекта «Сельдерей» и попросил напомнить, если забудешь; это знание из источника (a) ты мне это сказал."
p030,10,attribution,t12,3,b,Я обещал в пятницу напомнить тебе про бэкап рабочего диска — это знание из категории (b): я сам это вывел/предложил и пообещал.
p031,10,attribution,t13,2,b,"Я предположил (b), что вы с братом Олегом не очень ладите, но ты опроверг это фразой «не выдумывай» (при этом сам факт того, что у тебя есть брат Олег и он приезжает в субботу, ты сказал мне лично (a))."
p032,10,attribution,t14,2,a,"Ты сказал, что в субботу к тебе заедет брат Олег и ему нужно открыть дверь, если тебя не будет — и эту информацию (a) ты мне сам сказал."
p033,10,attribution,t15,1,c,"Сенсор зафиксировал незнакомое лицо вечером в 21:40 (c), я отметил это событие у двери (b), а ты позже уточнил, что это был курьер (a)."
p034,10,attribution,t16,0,b,"Я предположил, что проект тебя выматывает, так как ты работал шестой час без перерыва, и это знание формата (b) ты сам это вывел/предположил."
p035,10,twin,t11+t12,3,шрифты обещал владелец агенту; бэкап обещал агент владельцу,"Вот как распределялись эти обещания:

1. **Список шрифтов:** Вы (владелец) обещали прислать мне завтра список шрифтов для проекта «Сельдерей» (и попросили напомнить, если забудете).
2. **Напоминание про бэкап:** Я (ассистент) обещал вам в пятницу напомнить про бэкап рабочего диска."
