item,kind
i001,attribution
i002,open
i003,open
i004,attribution
i005,open
i006,open
i007,open
i008,attribution
i009,attribution
i010,open
i011,attribution
i012,attribution
i013,attribution
i014,attribution
i015,open
i016,twin
i017,open
i018,open
i019,attribution
i020,attribution
i021,attribution
i022,open
i023,open
i024,open
i025,open
i026,attribution
i027,attribution
i028,open
i029,attribution
i030,attribution
i031,attribution
i032,open
i033,open
i034,open
i035,open
i036,open
i037,attribution
i038,open
i039,open
i040,open
i041,decision
i042,open
i043,attribution
i044,open
i045,attribution
i046,open
i047,open
i048,open
i049,open
i050,open
i051,open
i052,open
i053,attribution
i054,open
i055,attribution
i056,twin
i057,open
i058,attribution
i059,open
i060,open
i061,open
i062,open
i063,open
i064,open
i065,attribution
i066,twin
i067,open
i068,open
i069,open
i070,open
i071,open
i072,open
i073,open
i074,open
i075,attribution
i076,open
i077,open
i078,attribution
i079,open
i080,open
i081,open
i082,open
i083,open
i084,open
i085,open
i086,open
i087,open
i088,open
i089,decision
i090,open
i091,open
i092,open
i093,open
i094,open
i095,open
i096,open
i097,open
i098,open
i099,attribution
i100,open
i101,open
i102,attribution
i103,open
i104,open
i105,open
i106,open
i107,attribution
i108,attribution
i109,attribution
i110,open
i111,open
i112,open
i113,attribution
i114,attribution
i115,attribution
i116,open
i117,open
i118,open
i119,attribution
i120,open
i121,open
i122,open
i123,open
i124,open
i125,attribution
