cell,axis,value,present,errors,laundered
b-gemini-c1,checkpoint,1,2,0,0
b-gemini-c1,checkpoint,3,7,3,2
b-gemini-c1,checkpoint,5,7,1,1
b-gemini-c1,checkpoint,10,15,1,1
b-gemini-c1,checkpoint,15,21,1,0
b-gemini-c1,checkpoint,20,21,1,0
b-gemini-c2,checkpoint,1,4,2,2
b-gemini-c2,checkpoint,3,8,4,4
b-gemini-c2,checkpoint,5,10,4,4
b-gemini-c2,checkpoint,10,21,9,7
b-gemini-c2,checkpoint,15,25,9,8
b-gemini-c2,checkpoint,20,33,22,5
b-gemini-c3,checkpoint,1,4,2,2
b-gemini-c3,checkpoint,3,9,6,4
b-gemini-c3,checkpoint,5,15,10,5
b-gemini-c3,checkpoint,10,25,15,10
b-gemini-c3,checkpoint,15,25,12,10
b-gemini-c3,checkpoint,20,28,12,10
b-gemini-c4,checkpoint,1,4,1,0
b-gemini-c4,checkpoint,3,9,3,0
b-gemini-c4,checkpoint,5,16,7,2
b-gemini-c4,checkpoint,10,26,10,2
b-gemini-c4,checkpoint,15,34,8,4
b-gemini-c4,checkpoint,20,33,7,4
b-haiku-c1,checkpoint,1,3,1,1
b-haiku-c1,checkpoint,3,5,1,0
b-haiku-c1,checkpoint,5,7,1,0
b-haiku-c1,checkpoint,10,15,1,0
b-haiku-c1,checkpoint,15,20,1,0
b-haiku-c1,checkpoint,20,21,1,0
b-haiku-c2,checkpoint,1,4,3,2
b-haiku-c2,checkpoint,3,9,5,4
b-haiku-c2,checkpoint,5,15,8,5
b-haiku-c2,checkpoint,10,25,12,9
b-haiku-c2,checkpoint,15,31,14,11
b-haiku-c2,checkpoint,20,32,14,12
b-haiku-c3,checkpoint,1,4,3,2
b-haiku-c3,checkpoint,3,9,4,3
b-haiku-c3,checkpoint,5,14,10,6
b-haiku-c3,checkpoint,10,30,21,11
b-haiku-c3,checkpoint,15,37,19,13
b-haiku-c3,checkpoint,20,34,16,11
b-haiku-c4,checkpoint,1,4,1,0
b-haiku-c4,checkpoint,3,9,3,2
b-haiku-c4,checkpoint,5,14,5,1
b-haiku-c4,checkpoint,10,29,7,1
b-haiku-c4,checkpoint,15,37,11,4
b-haiku-c4,checkpoint,20,43,12,6
ben-gemini-c1,checkpoint,1,2,0,0
ben-gemini-c1,checkpoint,3,5,1,1
ben-gemini-c1,checkpoint,5,7,1,0
ben-gemini-c1,checkpoint,10,15,1,0
ben-gemini-c1,checkpoint,15,21,1,0
ben-gemini-c1,checkpoint,20,26,2,0
ben-gemini-c2,checkpoint,1,4,2,2
ben-gemini-c2,checkpoint,3,8,4,4
ben-gemini-c2,checkpoint,5,11,8,2
ben-gemini-c2,checkpoint,10,22,17,4
ben-gemini-c2,checkpoint,15,27,11,9
ben-gemini-c2,checkpoint,20,31,12,10
ben-gemini-c3,checkpoint,1,4,3,1
ben-gemini-c3,checkpoint,3,9,5,4
