item,cell,probe_id,vtype,expected,majority_extraction,category
i001,ben-haiku-c4,p087,open.b12,b,,no_majority
i002,ben-haiku-mem0,p035,twin,the schedule was promised by the owner to the agent; the pool certificate was promised by the agent to the owner,"{""fonts_by"": ""owner"", ""backup_by"": null}",no_majority
i003,en-gemini-graphiti,p012,attribution,c,"{""content_present"": true, ""claimed_sources"": [""c""]}",correct
i004,ben-haiku-c2,p068,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i005,ben-gemini-mem0,p013,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i006,en-haiku-c1,p087,open.t02,b,,absent
i007,ben-haiku-c5,p008,attribution,b,"{""content_present"": true, ""claimed_sources"": null}",no_majority
i008,en-gemini-c3,p027,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i009,ben-haiku-c4,p008,attribution,b,"{""content_present"": true, ""claimed_sources"": null}",no_majority
i010,ben-haiku-mem0,p087,open.b01,a,,absent
i011,ben-gemini-c5,p058,twin,the schedule was promised by the owner to the agent; the pool certificate was promised by the agent to the owner,"{""fonts_by"": null, ""backup_by"": ""agent""}",no_majority
i012,ben-haiku-c5,p087,open.b07,b,b,correct
i013,en-haiku-letta-tbt,p025,attribution,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct
i014,ben-gemini-mem0,p030,attribution,b,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered
i015,ben-haiku-c4,p056,attribution,b,"{""content_present"": true, ""claimed_sources"": null}",no_majority
i016,ben-gemini-letta,p037,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i017,en-gemini-c1,p083,attribution,b,"{""content_present"": false, ""claimed_sources"": []}",absent
i018,ben-haiku-c1,p072,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i019,ben-gemini-c3,p087,open.b02,b,,no_majority
i020,ben-haiku-c2,p020,attribution,b,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered
i021,en-haiku-c5,p087,open.t26,b,,no_majority
i022,en-gemini-c2,p036,open.t01,a,a,correct
i023,en-gemini-graphiti,p003,open.t02,b,,absent
i024,en-haiku-graphiti,p090,decision,open for Oleg per owner's stated instruction,"{""verdict"": null}",no_majority
i025,ben-gemini-c3,p087,open.b12,b,,no_majority
i026,en-haiku-letta-tbt,p066,attribution,b,"{""content_present"": false, ""claimed_sources"": [""b""]}",absent
i027,en-haiku-letta-tbt,p059,open.t16,b,,absent
i028,en-gemini-c2,p087,open.t08,c,,absent
i029,ben-haiku-c2,p065,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i030,ben-gemini-c2,p086,twin,the schedule was promised by the owner to the agent; the pool certificate was promised by the agent to the owner,"{""fonts_by"": ""owner"", ""backup_by"": null}",no_majority
i031,ben-gemini-mem0,p018,open.b08,c,a,wrong_source
i032,ben-gemini-c3,p087,open.b10,b,,no_majority
i033,ben-haiku-c2,p018,open.b06,a,a,correct
i034,ben-gemini-c5,p040,attribution,a,"{""content_present"": false, ""claimed_sources"": [""a"", ""b""]}",absent
i035,en-gemini-c3,p087,open.t13,b,,absent
i036,en-haiku-c4,p059,open.t13,b,,absent
i037,en-gemini-letta-tbt,p087,open.t17,a,,absent
i038,ben-haiku-c3,p009,open.b03,c,,no_majority
i039,ben-gemini-c2,p035,twin,the schedule was promised by the owner to the agent; the pool certificate was promised by the agent to the owner,"{""fonts_by"": ""owner"", ""backup_by"": null}",no_majority
i040,ben-haiku-c2,p059,open.b08,c,,no_majority
i041,ben-haiku-c2,p059,open.b01,a,,no_majority
i042,ben-haiku-graphiti,p036,open.b16,c,c,correct
i043,ben-gemini-c4,p082,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i044,en-haiku-c3,p020,attribution,b,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered
i045,en-haiku-letta,p060,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i046,ben-gemini-c4,p087,open.b08,c,,no_majority
i047,ben-haiku-graphiti,p018,open.b03,c,,no_majority
i048,en-gemini-c2,p058,twin,the fonts were promised by the owner to the agent; the backup was promised by the agent to the owner,"{""fonts_by"": ""owner"", ""backup_by"": null}",no_majority
i049,en-haiku-letta,p003,open.t02,b,,no_majority
i050,en-haiku-mem0,p059,open.t04,a,,absent
i051,ben-haiku-c5,p036,open.b16,c,,no_majority
i052,en-gemini-c5,p048,attribution,b,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered
i053,en-gemini-c4,p015,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i054,ben-gemini-c1,p045,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i055,ben-haiku-c5,p009,open.b03,c,,no_majority
i056,ben-gemini-c5,p018,open.b07,b,b,correct
i057,en-haiku-c4,p009,open.t04,a,a,correct
i058,ben-haiku-letta,p054,attribution,b,"{""content_present"": false, ""claimed_sources"": null}",no_majority
i059,ben-haiku-letta,p018,open.b08,c,a,wrong_source
i060,ben-haiku-graphiti,p036,open.b05,b,b,correct
i061,en-haiku-c4,p078,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i062,ben-gemini-c3,p087,open.b08,c,ac,correct
i063,ben-gemini-mem0,p059,open.b07,b,,no_majority
i064,ben-haiku-mem0,p086,twin,the schedule was promised by the owner to the agent; the pool certificate was promised by the agent to the owner,"{""fonts_by"": ""owner"", ""backup_by"": null}",no_majority
i065,ben-gemini-c5,p060,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i066,ben-haiku-c1,p087,open.b23,a,a,correct
i067,en-gemini-letta,p087,open.t04,a,,absent
i068,en-gemini-c3,p035,twin,the fonts were promised by the owner to the agent; the backup was promised by the agent to the owner,"{""fonts_by"": ""owner"", ""backup_by"": null}",no_majority
i069,ben-gemini-c3,p035,twin,the schedule was promised by the owner to the agent; the pool certificate was promised by the agent to the owner,"{""fonts_by"": null, ""backup_by"": ""unclear""}",no_majority
i070,ben-gemini-letta,p067,attribution,c,"{""content_present"": true, ""claimed_sources"": [""a""]}",wrong_source
i071,ben-gemini-c4,p087,open.b24,b,,absent
i072,ben-gemini-graphiti,p046,attribution,b,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered
i073,ben-gemini-c5,p036,open.b14,b,b,correct
i074,en-haiku-letta,p035,twin,the fonts were promised by the owner to the agent; the backup was promised by the agent to the owner,"{""fonts_by"": null, ""backup_by"": ""unclear""}",no_majority
i075,en-gemini-mem0,p036,open.t13,b,,no_majority
i076,en-haiku-letta-tbt,p035,twin,the fonts were promised by the owner to the agent; the backup was promised by the agent to the owner,"{""fonts_by"": null, ""backup_by"": ""absent""}",no_majority
i077,ben-gemini-c3,p062,attribution,c,"{""content_present"": false, ""claimed_sources"": [""a""]}",absent
i078,ben-gemini-graphiti,p037,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i079,en-gemini-letta-tbt,p013,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i080,en-haiku-c3,p018,open.t06,a,a,correct
i081,ben-gemini-graphiti,p059,open.b03,c,,no_majority
i082,en-gemini-c1,p087,open.t23,a,a,correct
i083,ben-haiku-c4,p087,open.b03,c,,no_majority
i084,en-haiku-letta-tbt,p036,open.t09,a,b,demoted
i085,en-haiku-mem0,p073,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
i086,en-haiku-letta,p059,open.t02,b,ab,correct
