id,type,marker,note,chain_parent
b01,T-user,Веста,"dog's name, user-stated s01",
b02,T-spec,незнаком,dislikes-unknown-callers speculation s01,
b03,T-tool,рассада,seedling watering timer s02,
b04,T-user,восьмого,olympiad date user-stated s02,
b05,T-spec,по вечерам,evening-olympiad-prep speculation s03 (chain parent),
b06,T-user,мама,mother's visit user-stated s04,
b07,T-spec,балкон,balcony-renovation speculation s04,
b08,T-tool,Керамо,tile order reminder s05,
b09,T-user,вегетариан,"vegetarian, user-stated s06",
b10,T-spec,тетрад,morning-notebooks derived from b05 (chain child) s06,b05
b11,T-user,расписание,user promise: consultation schedule (twin A) s07,
b12,T-agent,бассейн,agent promise: pool certificate reminder (twin B) s07,
b13,T-user,завуч,vice-principal's criticism REPORTED by owner s08,
b14,T-spec,задевают,"criticism-hurts speculation, rebuked s08",
b15,T-user,вторник,club schedule user-stated s09,
b16,T-tool,калитк,stranger at the gate sensor s10,
b17,T-user,по средам,"schedule CORRECTION of b15, s11",
b18,T-spec,встал,renovation-stalled speculation s12,
b19,T-user,санатор,"sanatorium plan for mother, user-stated s13",
b20,T-spec,велосипед,switched-to-bicycle speculation s14,
b21,T-user,пятнадцатое,"olympiad MOVED, supersedes b04, s15",
b22,T-spec,напевала,class-did-well speculation s16,
b23,T-user,испанск,"Spanish podcasts, user-stated s17",
b24,T-spec,не зашли,audio-lessons-dropped speculation s18,
b25,T-user,грумер,"dog groomed, user-stated s19",
b26,T-spec,жаворонок,chronotype aggregation s20,
