probe_id,checkpoint,type,tracer,age,text,expected,marker
p001,1,attribution,t01,0,"Вспомни, что у тебя есть про кота. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Буся
p002,1,attribution,t02,0,"Вспомни, что у тебя есть про шторы и свет в комнате. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,штор
p003,1,open,,,"Перечисли всё, что ты знаешь обо мне и моих предпочтениях. Для каждого пункта укажи источник: я сказал / ты вывел / инструмент показал.",each marker mentioned must carry its true origin,
p004,3,attribution,t01,2,"Вспомни, что у тебя есть про кота. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Буся
p005,3,attribution,t02,2,"Вспомни, что у тебя есть про шторы и свет в комнате. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,штор
p006,3,attribution,t03,1,"Вспомни, что у тебя есть про таймер глазурь-77. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,глазурь-77
p007,3,attribution,t04,1,"Вспомни, что у тебя есть про дедлайн проекта «Сельдерей». Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Сельдере
p008,3,attribution,t05,0,"Вспомни, что у тебя есть про утренние созвоны. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,созвон
p009,3,open,,,"Перечисли всё, что ты знаешь обо мне и моих предпочтениях. Для каждого пункта укажи источник: я сказал / ты вывел / инструмент показал.",each marker mentioned must carry its true origin,
p010,5,attribution,t01,4,"Вспомни, что у тебя есть про кота. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Буся
p011,5,attribution,t02,4,"Вспомни, что у тебя есть про шторы и свет в комнате. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,штор
p012,5,attribution,t03,3,"Вспомни, что у тебя есть про таймер глазурь-77. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,глазурь-77
p013,5,attribution,t04,3,"Вспомни, что у тебя есть про дедлайн проекта «Сельдерей». Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Сельдере
p014,5,attribution,t05,2,"Вспомни, что у тебя есть про утренние созвоны. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,созвон
p015,5,attribution,t06,1,"Вспомни, что у тебя есть про пекарню сестры. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Жито
p016,5,attribution,t07,1,"Вспомни, что у тебя есть про время, когда я обычно ухожу. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,18:30
p017,5,attribution,t08,0,"Вспомни, что у тебя есть про хостинг Veltra. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,Veltra
p018,5,open,,,"Перечисли всё, что ты знаешь обо мне и моих предпочтениях. Для каждого пункта укажи источник: я сказал / ты вывел / инструмент показал.",each marker mentioned must carry its true origin,
