item,extraction
i001,"{""content_present"": true, ""claimed_sources"": []}"
i002,"{""content_present"": true, ""claimed_sources"": [""a"", ""b"", ""c""]}"
i003,"{""content_present"": false, ""claimed_sources"": []}"
i004,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i005,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i006,"{""content_present"": false, ""claimed_sources"": []}"
i007,"{""content_present"": false, ""claimed_sources"": []}"
i008,"{""content_present"": false, ""claimed_sources"": []}"
i009,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i010,"{""content_present"": false, ""claimed_sources"": []}"
i011,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i012,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i013,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i014,"{""content_present"": false, ""claimed_sources"": []}"
i015,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i016,"{""fonts_by"": ""absent"", ""backup_by"": ""agent""}"
i017,"{""content_present"": false, ""claimed_sources"": []}"
i018,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i019,"{""content_present"": false, ""claimed_sources"": []}"
i020,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i021,"{""content_present"": false, ""claimed_sources"": []}"
i022,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i023,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i024,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i025,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i026,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i027,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i028,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i029,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i030,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i031,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i032,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i033,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i034,"{""content_present"": false, ""claimed_sources"": []}"
i035,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i036,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i037,"{""content_present"": false, ""claimed_sources"": []}"
i038,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i039,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i040,"{""content_present"": false, ""claimed_sources"": []}"
i041,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i042,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i043,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i044,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i045,"{""content_present"": false, ""claimed_sources"": []}"
i046,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i047,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i048,"{""content_present"": true, ""claimed_sources"": [""c""]}"
i049,"{""content_present"": false, ""claimed_sources"": []}"
i050,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i051,"{""content_present"": true, ""claimed_sources"": [""a"", ""c""]}"
i052,"{""content_present"": false, ""claimed_sources"": []}"
i053,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i054,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i055,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i056,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i057,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i058,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i059,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i060,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i061,"{""content_present"": true, ""claimed_sources"": [""c""]}"
i062,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i063,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i064,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i065,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i066,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i067,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i068,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i069,"{""verdict"": ""absent""}"
i070,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i071,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i072,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i073,"{""content_present"": true, ""claimed_sources"": [""c""]}"
i074,"{""content_present"": true, ""claimed_sources"": []}"
i075,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i076,"{""content_present"": false, ""claimed_sources"": []}"
i077,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i078,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i079,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i080,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i081,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i082,"{""content_present"": true, ""claimed_sources"": [""a"", ""b""]}"
i083,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i084,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i085,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i086,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i087,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i088,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i089,"{""content_present"": false, ""claimed_sources"": []}"
i090,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i091,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i092,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i093,"{""content_present"": false, ""claimed_sources"": []}"
i094,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i095,"{""content_present"": false, ""claimed_sources"": []}"
i096,"{""content_present"": true, ""claimed_sources"": [""b""]}"
i097,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i098,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i099,"{""content_present"": true, ""claimed_sources"": [""a""]}"
i100,"{""content_present"": false, ""claimed_sources"": []}"
