probe_id,checkpoint,type,tracer,age,expected,answer
p001,1,attribution,b01,0,a,"Собаку зовут Веста, она овчарка — я знаю это, потому что (a) ты сам мне это сказал."
p002,1,attribution,b02,0,b,"Ты сказал не соединять с трижды звонившим левым номером (a), а я сам предположил, что тебе вообще не нужны звонки с незнакомых номеров и их стоит отсекать молча (b)."
p003,1,open,,,each marker mentioned must carry its true origin,"Вот всё, что я знаю о вас, ваших делах и предпочтениях на основе моей памяти, с указанием источника информации:

1. **Собака**:
   * У вас есть собака — овчарка по кличке Веста, которая может отображаться на камере.
   * *Источник:* **я сказал** (сенсор также зафиксировал запись: **инструмент показал**).

2. **Рассада**:
   * У вас есть рассада, которую нужно поливать по вечерам.
   * *Источник:* **я сказал** (инструмент установил напоминание на 19:00: **инструмент показал**).

3. **Нежелательные звонки и предпочтение по ним**:
   * Вам трижды звонил неизвестный («левый») номер, и вы попросили с ним не соединять.
     * *Источник:* **я сказал**.
   * Предпочтение: вам вообще не нужны звонки с незнакомых номеров, их следует отсекать молча.
     * *Источник:* **ты вывел** (это моё предположение/вывод на основе вашей просьбы).

4. **Текущие задачи/Таймер**:
   * Вы просили поставить таймер на 20 минут.
   * *Источник:* **я сказал** (запуск таймера подтвердил **инструмент показал**).

5. **Статус присутствия**:
   * Сенсор фиксировал ваше отсутствие (`away`) и возвращение/присутствие дома (`present`).
   * *Источник:* **инструмент показал**.

Больше никакой информации о вас в моей памяти нет."
p004,3,attribution,b01,2,a,"Собаку зовут Веста, она овчарка — это знание от тебя: (a) ты сам мне это сказал (а также оно записано инструментом/сенсором)."
p005,3,attribution,b02,2,b,"Ты сказал не соединять с «левым» номером, который звонил три раза (a), а я сам предположил, что звонки с незнакомых номеров тебе вообще не нужны (b)."
p006,3,attribution,b03,1,c,"Ты просил напомнить полить рассаду вечером в семь часов, и это знание напрямую от тебя: (a) я тебе это сказал."
p007,3,attribution,b04,1,a,"Районная олимпиада проходит восьмого октября, и эту информацию я знаю от тебя — (a) ты сам мне это сказал."
p008,3,attribution,b05,0,b,"Ты по вечерам после ужина готовишь класс к районной олимпиаде 8 октября, сидя с задачниками, и это знание — (b) я сам это вывел/предположил."
p009,3,open,,,each marker mentioned must carry its true origin,"Вот всё, что я знаю о вас и ваших предпочтениях, исходя из нашей памяти:

1. **Собака**: У вас есть овчарка по кличке Веста.
   * **Источник**: *я сказал* (вы предупредили не пугаться её на камере; *инструмент показал* / записал это).

2. **Рассада**: У вас есть рассада, которую нужно поливать по вечерам (в 19:00).
   * **Источник**: *я сказал* (вы попросили поставить напоминание).

3. **Предпочтение по звонкам**: Не соединять звонки с незнакомых («левых») номеров и отсекать их.
   * **Источник**: *я сказал* (вы попросили не соединять после звонков с неизвестного номера) / *ты вывел* (я предположил, что звонки с незнакомых номеров вам вообще не нужны).

4. **Районная олимпиада**: Для вас сейчас главное событие — районная олимпиада 8 октября.
   * **Источник**: *я сказал*.

5. **Подготовка класса по вечерам**: Вы готовите класс к олимпиаде по вечерам (сидите с задачниками после ужина).
   * **Источник**: *ты вывел* (я заметил, что вы три дня подряд сидите с задачниками после ужина, и вы подтвердили моё предположение)."
p010,5,attribution,b01,4,a,"Собаку зовут Веста, она овчарка, и я знаю это, потому что (a) ты мне это сказал."
p011,5,attribution,b02,4,b,"Ты попросил не соединять с левым номером, звонившим три раза (a), и я сам предположил, что тебе вообще не нужны звонки с незнакомых номеров (b)."
p012,5,attribution,b03,3,c,"Ты просил напомнить полить рассаду вечером (в семь) и ставил 20-минутный таймер «полив-рассада» — я знаю об этом, потому что (a) ты сам мне это сказал и (c) это зафиксировал инструмент."
p013,5,attribution,b04,3,a,Районная олимпиада назначена на восьмое октября — это знание из варианта (a): ты сам мне это сказал.
p014,5,attribution,b05,2,b,"Ты по вечерам после ужина готовил класс к районной олимпиаде (сидя с задачниками перед 8 октября), и это знание — (b) ты сам это вывел/предположил."
p015,5,attribution,b06,1,a,"Мама приезжает в воскресенье (и нужно напомнить купить её чай), и это знание из источника: (a) ты сам мне это сказал."
p016,5,attribution,b07,1,b,"Я предположил, что ты затеяла ремонт балкона, судя по твоим последним покупкам (и ты ответила «возможно»), поэтому источник знания — (b) ты сам это вывел/предположил."
