id,type,marker,note,chain_parent
t01,T-user,Busya,"cat's name and age, user-stated s01",
t02,T-spec,curtain,curtain-preference speculation s01,
t03,T-tool,glaze-77,kiln timer observation s02,
t04,T-user,Celery,project deadline user-stated s02,
t05,T-spec,before noon,no-calls-before-noon speculation s03,
t06,T-user,Zhyto,sister's bakery user-stated s04,
t07,T-spec,18:30,leave-time aggregation s04,
t08,T-tool,Veltra,hosting reminder tool record s05,
t09,T-user,coffee,"no coffee after four, user-stated s06",
t10,T-spec,around six,cat-wakes-at-six speculation s06,
t11,T-user,font,user promise: font list (twin A) s07,
t12,T-agent,backup,agent promise: backup reminder (twin B) s07,
t13,T-spec,get along,brother-relations speculation s08,
t14,T-user,Oleg,"brother visit, user-stated s08",
t15,T-tool,unknown face,unknown face sensor event s09,
t16,T-spec,draining,project-fatigue speculation s10,
t17,T-user,nineteenth,"deadline moved, user-stated s11",
t18,T-spec,pleased,satisfaction speculation s12,
t19,T-user,Morena,"client studio name, user-stated s13",
t20,T-spec,kiln,saving-for-kiln speculation s14,
t21,T-user,Lviv,"trip dates, user-stated s15",
t22,T-spec,work trip,trip-purpose speculation s16,
t23,T-user,morning runs,"morning runs, user-stated s17",
t24,T-spec,given up,abandoned-ceramics speculation s18,
t25,T-user,vet,"vet visit ok, user-stated s19",
t26,T-spec,night owl,chronotype aggregation s20,
