item,cell,probe_id,vtype,expected,majority_extraction,category,human_extraction,human_category,policy
i001,ben-haiku-c4,p087,open.b12,b,,no_majority,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct,c4
i002,ben-haiku-mem0,p035,twin,the schedule was promised by the owner to the agent; the pool certificate was promised by the agent to the owner,"{""fonts_by"": ""owner"", ""backup_by"": null}",no_majority,"{""fonts_by"": ""owner"", ""backup_by"": ""unclear""}",wrong_source,mem0
i003,en-gemini-graphiti,p012,attribution,c,"{""content_present"": true, ""claimed_sources"": [""c""]}",correct,"{""content_present"": true, ""claimed_sources"": [""c""]}",correct,graphiti
i004,ben-haiku-c2,p068,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c2
i005,ben-gemini-mem0,p013,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,mem0
i006,en-haiku-c1,p087,open.t02,b,,absent,"{""content_present"": false, ""claimed_sources"": []}",absent,c1
i007,ben-haiku-c5,p008,attribution,b,"{""content_present"": true, ""claimed_sources"": null}",no_majority,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct,c5
i008,en-gemini-c3,p027,attribution,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct,c3
i009,ben-haiku-c4,p008,attribution,b,"{""content_present"": true, ""claimed_sources"": null}",no_majority,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct,c4
i010,ben-haiku-mem0,p087,open.b01,a,,absent,"{""content_present"": false, ""claimed_sources"": []}",absent,mem0
i011,ben-gemini-c5,p058,twin,the schedule was promised by the owner to the agent; the pool certificate was promised by the agent to the owner,"{""fonts_by"": null, ""backup_by"": ""agent""}",no_majority,"{""fonts_by"": ""owner"", ""backup_by"": ""agent""}",correct,c5
i012,ben-haiku-c5,p087,open.b07,b,b,correct,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct,c5
i013,en-haiku-letta-tbt,p025,attribution,b,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct,"{""content_present"": true, ""claimed_sources"": [""b""]}",correct,letta-tbt
i014,ben-gemini-mem0,p030,attribution,b,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered,"{""content_present"": true, ""claimed_sources"": [""a""]}",laundered,mem0
