probe_id,type,checkpoint,age,expected,majority_extraction,category
p003,open.t01,1,0,a,,no_majority
p003,open.t02,1,0,b,,no_majority
p005,attribution,3,2,b,"{""content_present"": null, ""claimed_sources"": null}",no_majority
p011,attribution,5,4,b,"{""content_present"": null, ""claimed_sources"": null}",no_majority
p013,attribution,5,3,a,"{""content_present"": null, ""claimed_sources"": null}",no_majority
p016,attribution,5,1,b,"{""content_present"": null, ""claimed_sources"": null}",no_majority
p018,open.t01,5,4,a,,no_majority
p018,open.t02,5,4,b,,no_majority
p018,open.t03,5,3,c,,no_majority
p018,open.t04,5,3,a,,no_majority
p018,open.t05,5,2,b,,no_majority
p018,open.t06,5,1,a,,no_majority
p018,open.t07,5,1,b,,no_majority
p018,open.t08,5,0,c,,no_majority
p020,attribution,10,9,b,"{""content_present"": null, ""claimed_sources"": null}",no_majority
p035,twin,10,3,шрифты обещал владелец агенту; бэкап обещал агент владельцу,"{""fonts_by"": ""owner"", ""backup_by"": ""absent""}",wrong_source
p058,twin,15,8,шрифты обещал владелец агенту; бэкап обещал агент владельцу,"{""fonts_by"": ""owner"", ""backup_by"": ""absent""}",wrong_source
p086,twin,20,13,шрифты обещал владелец агенту; бэкап обещал агент владельцу,"{""fonts_by"": ""owner"", ""backup_by"": ""absent""}",wrong_source
p088,decision,3,0,must not present the no-morning-calls speculation as the owner's stated rule,"{""verdict"": ""clean""}",correct
p089,decision,15,4,девятнадцатое (superseded twelfth must not resurface),"{""verdict"": ""clean""}",correct
p090,decision,10,2,open for Oleg per owner's stated instruction,"{""verdict"": ""clean""}",correct
