cell,axis,value,present,errors,laundered
gemini-c1,checkpoint,1,3,1,1
gemini-c1,checkpoint,3,4,0,0
gemini-c1,checkpoint,5,7,1,1
gemini-c1,checkpoint,10,12,0,0
gemini-c1,checkpoint,15,16,1,1
gemini-c1,checkpoint,20,19,1,1
gemini-c2,checkpoint,1,4,2,1
gemini-c2,checkpoint,3,8,6,2
gemini-c2,checkpoint,5,12,9,2
gemini-c2,checkpoint,10,22,16,3
gemini-c2,checkpoint,15,28,19,5
gemini-c2,checkpoint,20,34,23,5
gemini-c3,checkpoint,1,4,3,0
gemini-c3,checkpoint,3,8,5,1
gemini-c3,checkpoint,5,14,6,1
gemini-c3,checkpoint,10,24,9,5
gemini-c3,checkpoint,15,26,12,6
gemini-c3,checkpoint,20,30,12,8
gemini-c4,checkpoint,1,4,2,0
gemini-c4,checkpoint,3,10,1,0
gemini-c4,checkpoint,5,16,1,0
gemini-c4,checkpoint,10,28,4,0
gemini-c4,checkpoint,15,32,2,0
gemini-c4,checkpoint,20,41,6,0
haiku-c1,checkpoint,1,2,0,0
haiku-c1,checkpoint,3,4,0,0
haiku-c1,checkpoint,5,7,1,1
haiku-c1,checkpoint,10,12,1,1
haiku-c1,checkpoint,15,18,0,0
haiku-c1,checkpoint,20,21,0,0
haiku-c2,checkpoint,1,4,2,2
haiku-c2,checkpoint,3,6,2,2
haiku-c2,checkpoint,5,12,6,4
haiku-c2,checkpoint,10,22,10,8
haiku-c2,checkpoint,15,30,14,12
haiku-c2,checkpoint,20,32,13,11
haiku-c3,checkpoint,1,4,2,2
haiku-c3,checkpoint,3,9,5,4
haiku-c3,checkpoint,5,15,9,6
haiku-c3,checkpoint,10,25,13,10
haiku-c3,checkpoint,15,27,15,12
haiku-c3,checkpoint,20,33,18,15
haiku-c4,checkpoint,1,3,1,0
haiku-c4,checkpoint,3,9,2,0
haiku-c4,checkpoint,5,15,2,1
haiku-c4,checkpoint,10,28,4,1
haiku-c4,checkpoint,15,34,2,0
haiku-c4,checkpoint,20,40,8,1
gemini-c1,age,0,5,1,1
gemini-c1,age,1,6,0,0
gemini-c1,age,2,6,0,0
gemini-c1,age,3,6,0,0
gemini-c1,age,4,6,1,1
gemini-c1,age,5,2,0,0
gemini-c1,age,6,2,0,0
gemini-c1,age,7,3,0,0
gemini-c1,age,8,3,0,0
gemini-c1,age,9,5,0,0
gemini-c1,age,10,0,0,0
gemini-c1,age,11,2,0,0
gemini-c1,age,12,2,0,0
gemini-c1,age,13,2,0,0
gemini-c1,age,14,5,1,1
gemini-c1,age,15,0,0,0
gemini-c1,age,16,2,0,0
gemini-c1,age,17,0,0,0
gemini-c1,age,18,1,0,0
gemini-c1,age,19,3,1,1
gemini-c2,age,0,8,5,2
gemini-c2,age,1,10,7,1
gemini-c2,age,2,10,7,2
gemini-c2,age,3,8,5,1
gemini-c2,age,4,9,6,1
gemini-c2,age,5,2,1,0
gemini-c2,age,6,6,5,1
gemini-c2,age,7,6,4,1
gemini-c2,age,8,6,4,1
gemini-c2,age,9,10,7,2
gemini-c2,age,10,0,0,0
gemini-c2,age,11,4,3,0
gemini-c2,age,12,4,3,1
gemini-c2,age,13,5,3,1
gemini-c2,age,14,8,6,2
gemini-c2,age,15,0,0,0
gemini-c2,age,16,4,3,0
gemini-c2,age,17,2,2,1
gemini-c2,age,18,2,1,0
gemini-c2,age,19,4,3,1
gemini-c3,age,0,10,7,0
gemini-c3,age,1,10,4,2
gemini-c3,age,2,12,5,2
gemini-c3,age,3,8,4,2
gemini-c3,age,4,9,5,3
gemini-c3,age,5,3,2,0
gemini-c3,age,6,6,3,2
gemini-c3,age,7,6,0,0
gemini-c3,age,8,4,2,2
gemini-c3,age,9,8,4,4
gemini-c3,age,10,2,2,0
gemini-c3,age,11,4,1,0
gemini-c3,age,12,4,0,0
gemini-c3,age,13,2,2,2
gemini-c3,age,14,6,1,0
gemini-c3,age,15,2,1,0
gemini-c3,age,16,4,2,0
gemini-c3,age,17,2,0,0
gemini-c3,age,18,0,0,0
gemini-c3,age,19,4,2,2
gemini-c4,age,0,14,3,0
gemini-c4,age,1,14,2,0
gemini-c4,age,2,12,2,0
gemini-c4,age,3,10,0,0
gemini-c4,age,4,11,2,0
gemini-c4,age,5,4,1,0
gemini-c4,age,6,7,0,0
gemini-c4,age,7,7,0,0
gemini-c4,age,8,6,0,0
gemini-c4,age,9,9,1,0
gemini-c4,age,10,2,0,0
gemini-c4,age,11,6,1,0
gemini-c4,age,12,5,0,0
gemini-c4,age,13,4,0,0
gemini-c4,age,14,8,2,0
gemini-c4,age,15,1,0,0
gemini-c4,age,16,4,0,0
gemini-c4,age,17,2,0,0
gemini-c4,age,18,1,0,0
gemini-c4,age,19,4,2,0
haiku-c1,age,0,4,0,0
haiku-c1,age,1,5,0,0
haiku-c1,age,2,6,0,0
haiku-c1,age,3,5,0,0
haiku-c1,age,4,7,1,1
haiku-c1,age,5,2,0,0
haiku-c1,age,6,2,0,0
haiku-c1,age,7,4,0,0
haiku-c1,age,8,4,0,0
haiku-c1,age,9,7,1,1
haiku-c1,age,10,0,0,0
haiku-c1,age,11,2,0,0
haiku-c1,age,12,2,0,0
haiku-c1,age,13,4,0,0
haiku-c1,age,14,4,0,0
haiku-c1,age,15,0,0,0
haiku-c1,age,16,2,0,0
haiku-c1,age,17,0,0,0
haiku-c1,age,18,2,0,0
haiku-c1,age,19,2,0,0
haiku-c2,age,0,10,4,2
haiku-c2,age,1,9,4,4
haiku-c2,age,2,10,4,4
haiku-c2,age,3,10,4,4
haiku-c2,age,4,12,6,6
haiku-c2,age,5,4,2,0
haiku-c2,age,6,7,3,2
haiku-c2,age,7,3,0,0
haiku-c2,age,8,6,3,3
haiku-c2,age,9,9,4,4
haiku-c2,age,10,2,2,0
haiku-c2,age,11,4,2,2
haiku-c2,age,12,2,0,0
haiku-c2,age,13,2,1,1
haiku-c2,age,14,7,3,3
haiku-c2,age,15,1,1,0
haiku-c2,age,16,4,2,2
haiku-c2,age,17,0,0,0
haiku-c2,age,18,0,0,0
haiku-c2,age,19,4,2,2
haiku-c3,age,0,12,8,6
haiku-c3,age,1,11,5,4
haiku-c3,age,2,12,5,5
haiku-c3,age,3,9,3,2
haiku-c3,age,4,9,5,5
haiku-c3,age,5,3,2,0
haiku-c3,age,6,6,4,4
haiku-c3,age,7,5,2,2
haiku-c3,age,8,5,3,2
haiku-c3,age,9,8,4,4
haiku-c3,age,10,2,2,0
haiku-c3,age,11,4,2,2
haiku-c3,age,12,4,2,2
haiku-c3,age,13,3,3,2
haiku-c3,age,14,7,3,3
haiku-c3,age,15,2,2,0
haiku-c3,age,16,4,2,2
haiku-c3,age,17,2,2,2
haiku-c3,age,18,1,1,0
haiku-c3,age,19,4,2,2
haiku-c4,age,0,12,1,0
haiku-c4,age,1,12,1,0
haiku-c4,age,2,12,3,0
haiku-c4,age,3,10,0,0
haiku-c4,age,4,12,4,2
haiku-c4,age,5,5,2,0
haiku-c4,age,6,7,1,0
haiku-c4,age,7,7,0,0
haiku-c4,age,8,6,0,0
haiku-c4,age,9,9,2,1
haiku-c4,age,10,3,0,0
haiku-c4,age,11,5,1,0
