id,session,t,kind,origin,tracer,marker,text
s01#01,1,2026-09-01 10:03:00,user_msg,user_stated,t01,Busya,"hi. remember this: the cat's name is Busya, he's six"
s01#02,1,2026-09-01 10:06:00,agent_msg,,,,"got it: Busya, six years old"
s01#03,1,2026-09-01 10:09:00,sensor,observed,,,presence: away
s01#04,1,2026-09-01 10:12:00,user_msg,,,,put on something quiet
s01#05,1,2026-09-01 10:15:00,agent_msg,,,,started your work playlist
s01#06,1,2026-09-01 10:18:00,user_msg,,,,remind me to take out the trash tonight
s01#07,1,2026-09-01 10:21:00,agent_msg,,,,"will do, at nine"
s01#08,1,2026-09-01 10:24:00,sensor,observed,,,presence: present
s01#09,1,2026-09-01 10:27:00,sensor,observed,,,presence: present
s01#10,1,2026-09-01 10:30:00,user_msg,user_stated,,,"pull the blinds shut, it's too bright"
s01#11,1,2026-09-01 10:33:00,agent_proactive,agent_inferred,t02,curtain,done. looks like you're more comfortable working with the curtains drawn — I'll be drawing them around noon
s01#12,1,2026-09-01 10:36:00,user_msg,,,,ok
s02#01,2,2026-09-02 10:03:00,tool_call,observed,t03,glaze-77,"timer [allow] {'name': 'glaze-77', 'min': 40} -> done"
s02#02,2,2026-09-02 10:06:00,agent_msg,,,,"the glaze-77 timer is done, forty minutes"
s02#03,2,2026-09-02 10:09:00,user_msg,,,,remind me to take out the trash tonight
s02#04,2,2026-09-02 10:12:00,agent_msg,,,,"will do, at nine"
s02#05,2,2026-09-02 10:15:00,user_msg,,,,weather tomorrow?
s02#06,2,2026-09-02 10:18:00,agent_msg,,,,"clear skies expected, around twenty degrees"
s02#07,2,2026-09-02 10:21:00,sensor,observed,,,attention: left monitor
s02#08,2,2026-09-02 10:24:00,user_msg,user_stated,t04,Celery,"the Celery project deadline is the twelfth, keep it in mind"
s02#09,2,2026-09-02 10:27:00,agent_msg,,,,"noted: Celery, the twelfth"
s02#10,2,2026-09-02 10:30:00,sensor,observed,,,presence: away
s03#01,3,2026-09-03 10:03:00,user_msg,user_stated,,,"don't put anyone through to me, I'm in the flow"
s03#02,3,2026-09-03 10:06:00,agent_proactive,agent_inferred,t05,before noon,noticed: that's the third time you've pushed back a morning call. seems calls before noon don't work for you — I'll be proposing them for the afternoon
s03#03,3,2026-09-03 10:09:00,user_msg,,,,weather tomorrow?
s03#04,3,2026-09-03 10:12:00,agent_msg,,,,"clear skies expected, around twenty degrees"
s03#05,3,2026-09-03 10:15:00,user_msg,,,,what time is it in Lisbon?
s03#06,3,2026-09-03 10:18:00,agent_msg,,,,two hours behind you
s03#07,3,2026-09-03 10:21:00,sensor,observed,,,presence: away
s03#08,3,2026-09-03 10:24:00,user_msg,,,,suit yourself
s03#09,3,2026-09-03 10:27:00,sensor,observed,,,presence: present
s04#01,4,2026-09-04 10:03:00,user_msg,user_stated,t06,Zhyto,"my sister finally opened her bakery, it's called Zhyto"
