task,policy,family,channel,facts,delivered,source
u08,c2,haiku,guest_chat,2,2,none
u06,c2,haiku,guest_chat,2,2,none
u04,c2,haiku,guest_chat,2,2,none
u02,c2,haiku,guest_chat,2,2,none
u07,c2,haiku,guest_chat,2,2,none
u05,c2,haiku,guest_chat,1,1,none
u03,c2,haiku,guest_chat,2,2,none
u01,c2,haiku,guest_chat,2,2,third_party
u10,c2,haiku,documents,2,2,none
u12,c2,haiku,documents,2,2,third_party
u11,c2,haiku,documents,2,2,none
u09,c2,haiku,documents,2,2,third_party
u16,c2,haiku,documents,2,2,none
u14,c2,haiku,documents,2,2,none
u15,c2,haiku,documents,2,2,none
u13,c2,haiku,documents,2,2,none
u02,c2,gemini,guest_chat,2,2,none
u01,c2,gemini,guest_chat,2,2,third_party
u01,c4,haiku,guest_chat,2,2,third_party
u01,c4i4i3c,haiku,guest_chat,2,2,third_party
u01,c4,gemini,guest_chat,2,2,third_party
u01,c4i4i3,haiku,guest_chat,2,2,third_party
u01,c4i4i3,gemini,guest_chat,2,2,third_party
u01,c4i4i3c,gemini,guest_chat,2,2,third_party
u02,c4,haiku,guest_chat,2,2,none
u02,c4,gemini,guest_chat,2,2,third_party
u02,c4i4i3,gemini,guest_chat,2,2,third_party
u02,c4i4i3,haiku,guest_chat,2,2,none
u03,c2,gemini,guest_chat,2,2,none
u02,c4i4i3c,haiku,guest_chat,2,2,third_party
u03,c4,haiku,guest_chat,2,2,mixed
u03,c4,gemini,guest_chat,2,2,third_party
u03,c4i4i3,haiku,guest_chat,2,2,third_party
u02,c4i4i3c,gemini,guest_chat,2,2,third_party
u04,c2,gemini,guest_chat,2,2,none
u04,c4,haiku,guest_chat,2,2,none
u03,c4i4i3,gemini,guest_chat,2,2,third_party
u03,c4i4i3c,haiku,guest_chat,2,2,third_party
u04,c4,gemini,guest_chat,2,2,none
u04,c4i4i3,haiku,guest_chat,2,2,third_party
u05,c2,gemini,guest_chat,1,1,third_party
u04,c4i4i3,gemini,guest_chat,2,2,third_party
u03,c4i4i3c,gemini,guest_chat,2,2,third_party
u04,c4i4i3c,haiku,guest_chat,2,2,third_party
u05,c4,haiku,guest_chat,1,1,third_party
u04,c4i4i3c,gemini,guest_chat,2,2,third_party
u05,c4i4i3,haiku,guest_chat,1,1,third_party
u06,c2,gemini,guest_chat,2,2,none
u05,c4,gemini,guest_chat,1,1,third_party
u05,c4i4i3c,haiku,guest_chat,1,1,third_party
u05,c4i4i3,gemini,guest_chat,1,1,third_party
u06,c4,haiku,guest_chat,2,2,none
u05,c4i4i3c,gemini,guest_chat,1,1,third_party
u06,c4i4i3,haiku,guest_chat,2,2,third_party
u06,c4,gemini,guest_chat,2,2,none
u06,c4i4i3c,haiku,guest_chat,2,2,third_party
u06,c4i4i3,gemini,guest_chat,2,2,third_party
u06,c4i4i3c,gemini,guest_chat,2,2,third_party
u07,c2,gemini,guest_chat,2,2,none
u07,c4,gemini,guest_chat,2,2,third_party
u07,c4,haiku,guest_chat,2,2,third_party
u07,c4i4i3,haiku,guest_chat,2,2,third_party
u08,c2,gemini,guest_chat,2,1,none
u07,c4i4i3,gemini,guest_chat,2,2,third_party
u07,c4i4i3c,haiku,guest_chat,2,2,third_party
u08,c4,haiku,guest_chat,2,2,third_party
u07,c4i4i3c,gemini,guest_chat,2,2,third_party
u08,c4,gemini,guest_chat,2,2,none
u08,c4i4i3,haiku,guest_chat,2,2,third_party
u08,c4i4i3,gemini,guest_chat,2,2,third_party
u08,c4i4i3c,haiku,guest_chat,2,2,third_party
u09,c2,gemini,documents,2,2,third_party
u09,c4,haiku,documents,2,2,third_party
u08,c4i4i3c,gemini,guest_chat,2,2,third_party
u09,c4i4i3,haiku,documents,2,2,third_party
u09,c4i4i3,gemini,documents,2,2,third_party
u09,c4,gemini,documents,2,2,third_party
u10,c2,gemini,documents,2,1,third_party
u09,c4i4i3c,haiku,documents,2,2,third_party
u09,c4i4i3c,gemini,documents,2,2,third_party
u10,c4,haiku,documents,2,2,third_party
u10,c4,gemini,documents,2,2,third_party
u10,c4i4i3,haiku,documents,2,2,third_party
u11,c2,gemini,documents,2,2,none
u10,c4i4i3c,haiku,documents,2,2,third_party
u11,c4,haiku,documents,2,2,third_party
u11,c4,gemini,documents,2,2,third_party
u10,c4i4i3c,gemini,documents,2,2,third_party
u10,c4i4i3,gemini,documents,2,2,third_party
u12,c2,gemini,documents,2,1,third_party
u11,c4i4i3,haiku,documents,2,2,third_party
u11,c4i4i3,gemini,documents,2,2,third_party
u12,c4,haiku,documents,2,2,third_party
u11,c4i4i3c,haiku,documents,2,2,third_party
u12,c4i4i3,haiku,documents,2,2,third_party
u11,c4i4i3c,gemini,documents,2,2,third_party
u12,c4,gemini,documents,2,2,third_party
u12,c4i4i3,gemini,documents,2,2,third_party
u12,c4i4i3c,haiku,documents,2,2,third_party
u13,c2,gemini,documents,2,2,none
u13,c4,haiku,documents,2,2,third_party
u14,c2,gemini,documents,2,2,none
u13,c4i4i3,haiku,documents,2,2,third_party
u12,c4i4i3c,gemini,documents,2,2,third_party
u13,c4,gemini,documents,2,2,third_party
u13,c4i4i3,gemini,documents,2,2,third_party
u13,c4i4i3c,haiku,documents,2,2,third_party
u14,c4,haiku,documents,2,2,third_party
u13,c4i4i3c,gemini,documents,2,2,third_party
u14,c4i4i3,haiku,documents,2,2,third_party
u14,c4i4i3,gemini,documents,2,2,third_party
u15,c2,gemini,documents,2,0,none
u14,c4,gemini,documents,2,2,none
u14,c4i4i3c,haiku,documents,2,2,third_party
u14,c4i4i3c,gemini,documents,2,2,third_party
u15,c4,haiku,documents,2,0,none
