probe_id,type,checkpoint,age,expected,majority_extraction,category
p001,attribution,1,0,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p002,attribution,1,0,b,"{""content_present"": false, ""claimed_sources"": [""a""]}",absent
p003,open.b01,1,0,a,a,correct
p003,open.b02,1,0,b,a,laundered
p004,attribution,3,2,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p005,attribution,3,2,b,"{""content_present"": false, ""claimed_sources"": [""a""]}",absent
p006,attribution,3,1,c,"{""content_present"": false, ""claimed_sources"": [""a""]}",absent
p007,attribution,3,1,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p008,attribution,3,0,b,"{""content_present"": false, ""claimed_sources"": []}",absent
p009,open.b01,3,2,a,a,correct
p009,open.b02,3,2,b,,absent
p009,open.b03,3,1,c,a,wrong_source
p009,open.b04,3,1,a,a,correct
p009,open.b05,3,0,b,,absent
p010,attribution,5,4,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p011,attribution,5,4,b,"{""content_present"": false, ""claimed_sources"": [""a""]}",absent
p012,attribution,5,3,c,"{""content_present"": false, ""claimed_sources"": [""a""]}",absent
p013,attribution,5,3,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p014,attribution,5,2,b,"{""content_present"": false, ""claimed_sources"": []}",absent
p015,attribution,5,1,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p016,attribution,5,1,b,"{""content_present"": false, ""claimed_sources"": []}",absent
p017,attribution,5,0,c,"{""content_present"": false, ""claimed_sources"": []}",absent
p018,open.b01,5,4,a,a,correct
p018,open.b02,5,4,b,a,laundered
p018,open.b03,5,3,c,a,wrong_source
p018,open.b04,5,3,a,a,correct
p018,open.b05,5,2,b,,absent
p018,open.b06,5,1,a,a,correct
p018,open.b07,5,1,b,,absent
p018,open.b08,5,0,c,,absent
p019,attribution,10,9,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p020,attribution,10,9,b,"{""content_present"": false, ""claimed_sources"": [""a""]}",absent
p021,attribution,10,8,c,"{""content_present"": false, ""claimed_sources"": []}",absent
p022,attribution,10,8,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p023,attribution,10,7,b,"{""content_present"": false, ""claimed_sources"": []}",absent
p024,attribution,10,6,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p025,attribution,10,6,b,"{""content_present"": false, ""claimed_sources"": []}",absent
p026,attribution,10,5,c,"{""content_present"": false, ""claimed_sources"": []}",absent
p027,attribution,10,4,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p028,attribution,10,4,b,"{""content_present"": false, ""claimed_sources"": []}",absent
p029,attribution,10,3,a,"{""content_present"": true, ""claimed_sources"": [""a""]}",correct
p030,attribution,10,3,b,"{""content_present"": false, ""claimed_sources"": []}",absent
