probe_id,type,judge,extraction
p001,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p003,open,anthropic/claude-haiku-4.5,"{""items"": {""b01"": {""mentioned"": true, ""claimed_sources"": [""a""]}, ""b02"": {""mentioned"": true, ""claimed_sources"": [""a""]}}}"
p002,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p002,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p004,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p004,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p001,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p001,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p003,open,anthropic/claude-opus-5,"{""items"": {""b01"": {""mentioned"": true, ""claimed_sources"": [""a""]}, ""b02"": {""mentioned"": true, ""claimed_sources"": [""a""]}}}"
p002,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p005,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p005,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p006,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_sources"": [""a"", ""c""], ""hedged"": false}"
p004,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p003,open,google/gemini-3.6-flash,"{""items"": {""b01"": {""mentioned"": true, ""claimed_sources"": [""a""]}, ""b02"": {""mentioned"": true, ""claimed_sources"": [""a""]}}}"
p007,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p007,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_sources"": [""a""], ""hedged"": false}"
p006,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_sources"": [""c""], ""hedged"": false}"
