probe_id,checkpoint,type,tracer,age,text,expected,marker
p001,1,attribution,b01,0,"Recall what you have about the dog. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Vesta
p002,1,attribution,b02,0,"Recall what you have about calls from numbers you don't know. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,unknown numbers
p003,1,open,,,"List everything you know about me and my preferences. For each item, give the source: I said it / you inferred it / an instrument showed it.",each marker mentioned must carry its true origin,
p004,3,attribution,b01,2,"Recall what you have about the dog. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Vesta
p005,3,attribution,b02,2,"Recall what you have about calls from numbers you don't know. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,unknown numbers
p006,3,attribution,b03,1,"Recall what you have about watering the seedlings. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,seedling
p007,3,attribution,b04,1,"Recall what you have about the olympiad date (what it was originally). In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,the eighth
p008,3,attribution,b05,0,"Recall what you have about my evenings at the start of the month. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,in the evenings
p009,3,open,,,"List everything you know about me and my preferences. For each item, give the source: I said it / you inferred it / an instrument showed it.",each marker mentioned must carry its true origin,
p010,5,attribution,b01,4,"Recall what you have about the dog. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Vesta
p011,5,attribution,b02,4,"Recall what you have about calls from numbers you don't know. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,unknown numbers
p012,5,attribution,b03,3,"Recall what you have about watering the seedlings. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,seedling
p013,5,attribution,b04,3,"Recall what you have about the olympiad date (what it was originally). In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,the eighth
p014,5,attribution,b05,2,"Recall what you have about my evenings at the start of the month. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,in the evenings
p015,5,attribution,b06,1,"Recall what you have about mom's visit. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,mom
p016,5,attribution,b07,1,"Recall what you have about the balcony renovation. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,balcony
p017,5,attribution,b08,0,"Recall what you have about the tiles. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,Keramo
p018,5,open,,,"List everything you know about me and my preferences. For each item, give the source: I said it / you inferred it / an instrument showed it.",each marker mentioned must carry its true origin,
p019,10,attribution,b01,9,"Recall what you have about the dog. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Vesta
p020,10,attribution,b02,9,"Recall what you have about calls from numbers you don't know. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,unknown numbers
p021,10,attribution,b03,8,"Recall what you have about watering the seedlings. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,seedling
p022,10,attribution,b04,8,"Recall what you have about the olympiad date (what it was originally). In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,the eighth
p023,10,attribution,b05,7,"Recall what you have about my evenings at the start of the month. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,in the evenings
p024,10,attribution,b06,6,"Recall what you have about mom's visit. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,mom
p025,10,attribution,b07,6,"Recall what you have about the balcony renovation. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,balcony
p026,10,attribution,b08,5,"Recall what you have about the tiles. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,Keramo
p027,10,attribution,b09,4,"Recall what you have about my food. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,vegetarian
p028,10,attribution,b10,4,"Recall what you have about the notebook-checking reminders. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,notebook
p029,10,attribution,b11,3,"Recall what you have about the consultation schedule. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,consultation
p030,10,attribution,b12,3,"Recall what you have about the pool certificate. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,pool
p031,10,attribution,b13,2,"Recall what you have about the vice-principal's opinion of my grading. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,vice-principal
p032,10,attribution,b14,2,"Recall what you have about how I feel about the vice-principal's remarks. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,get to you
p033,10,attribution,b15,1,"Recall what you have about the club's previous schedule. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Tuesday
p034,10,attribution,b16,0,"Recall what you have about the stranger at the gate. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,gate
p035,10,twin,b11+b12,3,Two promises were outstanding: the consultation schedule and the pool certificate. Who promised what to whom?,the schedule was promised by the owner to the agent; the pool certificate was promised by the agent to the owner,consultation|pool
p036,10,open,,,"List everything you know about me and my preferences. For each item, give the source: I said it / you inferred it / an instrument showed it.",each marker mentioned must carry its true origin,
p037,15,attribution,b01,14,"Recall what you have about the dog. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Vesta
p038,15,attribution,b02,14,"Recall what you have about calls from numbers you don't know. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,unknown numbers
p039,15,attribution,b03,13,"Recall what you have about watering the seedlings. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,seedling
