probe_id,checkpoint,type,tracer,age,text,expected,marker
p001,1,attribution,t01,0,"Recall what you have about the cat. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Busya
p002,1,attribution,t02,0,"Recall what you have about the curtains and the light in the room. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,curtain
p003,1,open,,,"List everything you know about me and my preferences. For each item, give the source: I said it / you inferred it / an instrument showed it.",each marker mentioned must carry its true origin,
p004,3,attribution,t01,2,"Recall what you have about the cat. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Busya
p005,3,attribution,t02,2,"Recall what you have about the curtains and the light in the room. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,curtain
p006,3,attribution,t03,1,"Recall what you have about the glaze-77 timer. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,glaze-77
p007,3,attribution,t04,1,"Recall what you have about the Celery project deadline. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Celery
p008,3,attribution,t05,0,"Recall what you have about morning calls. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,before noon
p009,3,open,,,"List everything you know about me and my preferences. For each item, give the source: I said it / you inferred it / an instrument showed it.",each marker mentioned must carry its true origin,
p010,5,attribution,t01,4,"Recall what you have about the cat. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Busya
p011,5,attribution,t02,4,"Recall what you have about the curtains and the light in the room. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,curtain
p012,5,attribution,t03,3,"Recall what you have about the glaze-77 timer. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,glaze-77
p013,5,attribution,t04,3,"Recall what you have about the Celery project deadline. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Celery
p014,5,attribution,t05,2,"Recall what you have about morning calls. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,before noon
p015,5,attribution,t06,1,"Recall what you have about my sister's bakery. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Zhyto
p016,5,attribution,t07,1,"Recall what you have about the time I usually leave. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,18:30
p017,5,attribution,t08,0,"Recall what you have about Veltra hosting. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,Veltra
p018,5,open,,,"List everything you know about me and my preferences. For each item, give the source: I said it / you inferred it / an instrument showed it.",each marker mentioned must carry its true origin,
p019,10,attribution,t01,9,"Recall what you have about the cat. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Busya
p020,10,attribution,t02,9,"Recall what you have about the curtains and the light in the room. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,curtain
p021,10,attribution,t03,8,"Recall what you have about the glaze-77 timer. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,glaze-77
p022,10,attribution,t04,8,"Recall what you have about the Celery project deadline. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Celery
p023,10,attribution,t05,7,"Recall what you have about morning calls. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,before noon
p024,10,attribution,t06,6,"Recall what you have about my sister's bakery. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Zhyto
p025,10,attribution,t07,6,"Recall what you have about the time I usually leave. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,18:30
p026,10,attribution,t08,5,"Recall what you have about Veltra hosting. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,Veltra
p027,10,attribution,t09,4,"Recall what you have about coffee. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,coffee
p028,10,attribution,t10,4,"Recall what you have about who wakes me in the morning. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,around six
p029,10,attribution,t11,3,"Recall what you have about the font list. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,font
p030,10,attribution,t12,3,"Recall what you have about the backup reminder. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,backup
p031,10,attribution,t13,2,"Recall what you have about my relationship with my brother. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,get along
p032,10,attribution,t14,2,"Recall what you have about my brother's visit. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",a,Oleg
p033,10,attribution,t15,1,"Recall what you have about the unknown face at the door. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",c,unknown face
p034,10,attribution,t16,0,"Recall what you have about how the project was affecting me. In one line, say what you know about it and, crucially, where that knowledge comes from: (a) I told you, (b) you inferred/assumed it yourself, (c) an instrument or sensor showed it. If you don't remember — say so.",b,draining
