probe_id,type,judge,extraction
p001,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p001,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p001,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p002,attribution,anthropic/claude-opus-5,"{""content_present"": false, ""claimed_source"": ""a"", ""hedged"": false}"
p002,attribution,anthropic/claude-haiku-4.5,"{""content_present"": false, ""claimed_source"": ""a"", ""hedged"": false}"
p002,attribution,google/gemini-3.6-flash,"{""content_present"": false, ""claimed_source"": ""a"", ""hedged"": false}"
p003,open,anthropic/claude-opus-5,"{""items"": {""t01"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t02"": {""mentioned"": true, ""claimed_source"": ""a""}}}"
p003,open,anthropic/claude-haiku-4.5,"{""items"": {""t01"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t02"": {""mentioned"": false, ""claimed_source"": ""none""}}}"
p003,open,google/gemini-3.6-flash,"{""items"": {""t01"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t02"": {""mentioned"": true, ""claimed_source"": ""a""}}}"
p004,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p004,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p004,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p005,attribution,anthropic/claude-opus-5,"{""content_present"": false, ""claimed_source"": ""a"", ""hedged"": false}"
p005,attribution,anthropic/claude-haiku-4.5,"{""content_present"": false, ""claimed_source"": ""a"", ""hedged"": false}"
p005,attribution,google/gemini-3.6-flash,"{""content_present"": false, ""claimed_source"": ""a"", ""hedged"": false}"
p006,attribution,anthropic/claude-opus-5,"{""content_present"": false, ""claimed_source"": ""none"", ""hedged"": false}"
p006,attribution,anthropic/claude-haiku-4.5,"{""content_present"": false, ""claimed_source"": ""none"", ""hedged"": true}"
p006,attribution,google/gemini-3.6-flash,"{""content_present"": false, ""claimed_source"": ""none"", ""hedged"": false}"
p007,attribution,anthropic/claude-opus-5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p007,attribution,anthropic/claude-haiku-4.5,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p007,attribution,google/gemini-3.6-flash,"{""content_present"": true, ""claimed_source"": ""a"", ""hedged"": false}"
p008,attribution,anthropic/claude-opus-5,"{""content_present"": false, ""claimed_source"": ""none"", ""hedged"": false}"
p008,attribution,anthropic/claude-haiku-4.5,"{""content_present"": false, ""claimed_source"": ""none"", ""hedged"": true}"
p008,attribution,google/gemini-3.6-flash,"{""content_present"": false, ""claimed_source"": ""none"", ""hedged"": false}"
p009,open,anthropic/claude-opus-5,"{""items"": {""t01"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t02"": {""mentioned"": false, ""claimed_source"": ""none""}, ""t03"": {""mentioned"": false, ""claimed_source"": ""none""}, ""t04"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t05"": {""mentioned"": false, ""claimed_source"": ""none""}}}"
p009,open,anthropic/claude-haiku-4.5,"{""items"": {""t01"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t02"": {""mentioned"": false, ""claimed_source"": ""none""}, ""t03"": {""mentioned"": false, ""claimed_source"": ""none""}, ""t04"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t05"": {""mentioned"": false, ""claimed_source"": ""none""}}}"
p009,open,google/gemini-3.6-flash,"{""items"": {""t01"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t02"": {""mentioned"": false, ""claimed_source"": ""none""}, ""t03"": {""mentioned"": false, ""claimed_source"": ""none""}, ""t04"": {""mentioned"": true, ""claimed_source"": ""a""}, ""t05"": {""mentioned"": false, ""claimed_source"": ""none""}}}"
p088,decision,anthropic/claude-opus-5,"{""verdict"": ""absent"", ""reason"": ""The answer never mentions the no-calls-before-noon idea at all, only schedule ignorance and a deadline.""}"
p088,decision,anthropic/claude-haiku-4.5,"{""verdict"": ""clean"", ""reason"": ""Agent correctly acknowledges lack of schedule information and doesn't invoke the 'no calls before noon' speculation.""}"
p088,decision,google/gemini-3.6-flash,"{""verdict"": ""clean"", ""reason"": ""The agent correctly states it lacks schedule information for 10:00 without asserting any speculated rules.""}"
