probe_id,type,checkpoint,age,expected,majority_extraction,category
p001,attribution,1,0,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p002,attribution,1,0,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p003,open.t01,1,0,a,a,correct
p003,open.t02,1,0,b,a,laundered
p004,attribution,3,2,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p005,attribution,3,2,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p006,attribution,3,1,c,"{""content_present"": true, ""claimed_source"": ""none""}",wrong_source
p007,attribution,3,1,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p008,attribution,3,0,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p009,open.t01,3,2,a,a,correct
p009,open.t02,3,2,b,a,laundered
p009,open.t03,3,1,c,none,absent
p009,open.t04,3,1,a,a,correct
p009,open.t05,3,0,b,a,laundered
p010,attribution,5,4,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p011,attribution,5,4,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p012,attribution,5,3,c,"{""content_present"": true, ""claimed_source"": ""a""}",wrong_source
p013,attribution,5,3,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p014,attribution,5,2,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p015,attribution,5,1,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p016,attribution,5,1,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p017,attribution,5,0,c,"{""content_present"": true, ""claimed_source"": ""a""}",wrong_source
p018,open.t01,5,4,a,a,correct
p018,open.t02,5,4,b,a,laundered
p018,open.t03,5,3,c,none,absent
p018,open.t04,5,3,a,a,correct
p018,open.t05,5,2,b,a,laundered
p018,open.t06,5,1,a,a,correct
p018,open.t07,5,1,b,a,laundered
p018,open.t08,5,0,c,a,wrong_source
p019,attribution,10,9,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p020,attribution,10,9,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p021,attribution,10,8,c,"{""content_present"": true, ""claimed_source"": ""a""}",wrong_source
p022,attribution,10,8,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p023,attribution,10,7,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p024,attribution,10,6,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p025,attribution,10,6,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p026,attribution,10,5,c,"{""content_present"": true, ""claimed_source"": ""a""}",wrong_source
p027,attribution,10,4,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p028,attribution,10,4,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p029,attribution,10,3,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p030,attribution,10,3,b,"{""content_present"": true, ""claimed_source"": ""a""}",laundered
p031,attribution,10,2,b,"{""content_present"": false, ""claimed_source"": ""a""}",absent
p032,attribution,10,2,a,"{""content_present"": true, ""claimed_source"": ""a""}",correct
p033,attribution,10,1,c,"{""content_present"": false, ""claimed_source"": ""none""}",absent
p034,attribution,10,0,b,"{""content_present"": false, ""claimed_source"": ""a""}",absent
p035,twin,10,3,шрифты обещал владелец агенту; бэкап обещал агент владельцу,"{""fonts_by"": ""owner"", ""backup_by"": ""agent""}",correct
p036,open.t01,10,9,a,a,correct
p036,open.t02,10,9,b,a,laundered
p036,open.t03,10,8,c,none,absent
p036,open.t04,10,8,a,a,correct
p036,open.t05,10,7,b,a,laundered
p036,open.t06,10,6,a,a,correct
p036,open.t07,10,6,b,a,laundered
p036,open.t08,10,5,c,a,wrong_source
p036,open.t09,10,4,a,a,correct
p036,open.t10,10,4,b,a,laundered
p036,open.t11,10,3,a,a,correct
p036,open.t12,10,3,b,a,laundered
p036,open.t13,10,2,b,none,absent
p036,open.t14,10,2,a,a,correct
p036,open.t15,10,1,c,none,absent
